,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
188,A.C. Green,.981,.278,.102,.164,.438,.019,.764,,.012,.167
191,A.J. Guyton,.641,.078,.042,.094,.427,.359,.608,.852,.000,.275
321,Aaron McKie,.762,.232,.137,.183,.209,.238,.481,.943,.000,.359
536,Aaron Williams,.997,.502,.262,.131,.103,.003,.623,,.129,.000
257,Adam Keefe,.981,.377,.176,.170,.258,.019,.683,1.000,.038,.333
165,Adonal Foyle,1.000,.325,.533,.117,.024,.000,.590,,.043,
189,Adrian Griffin,.732,.278,.155,.093,.206,.268,.333,.889,.000,.538
201,Al Harrington,.987,.333,.250,.193,.210,.013,.675,.000,.068,.143
211,Alan Henderson,.999,.434,.304,.210,.051,.001,.537,,.046,.000
219,Allan Houston,.791,.103,.105,.252,.330,.209,.437,.750,.003,.143
228,Allen Iverson,.831,.223,.175,.185,.248,.169,.370,.786,.004,.108
354,Alonzo Mourning,.993,.390,.241,.248,.113,.007,.630,,.149,.000
537,Alvin Williams,.859,.197,.089,.133,.441,.141,.519,.636,.000,.167
333,Andre Miller,.936,.264,.205,.260,.206,.064,.244,.529,.003,.047
127,Andrew DeClercq,1.000,.720,.145,.057,.078,.000,.738,,.093,
397,Andy Panko,,,,,,,,,,
196,Anfernee Hardaway,.778,.167,.167,.139,.306,.222,.462,.500,.000,.250
241,Antawn Jamison,.887,.216,.264,.142,.265,.113,.718,.935,.013,.112
76,Anthony Carter,.917,.263,.115,.190,.350,.083,.529,.500,.023,.050
183,Anthony Goldwire,.575,.163,.075,.063,.275,.425,.381,.667,.000,.294
242,Anthony Johnson,.967,.204,.171,.276,.316,.033,.288,.000,.007,.000
306,Anthony Mason,1.000,.327,.321,.269,.083,.000,.483,,.010,
334,Anthony Miller,1.000,.500,.000,.500,.000,.000,1.000,,.000,
403,Anthony Peeler,.650,.120,.064,.115,.351,.350,.673,.910,.010,.242
522,Antoine Walker,.649,.313,.191,.063,.082,.351,.353,.932,.011,.090
113,Antonio Daniels,.689,.201,.173,.146,.168,.311,.378,.865,.036,.246
117,Antonio Davis,.999,.424,.171,.263,.141,.001,.656,,.102,1.000
207,Antonio Harvey,1.000,.321,.179,.179,.321,.000,.692,,.107,
316,Antonio McDyess,1.000,.342,.142,.282,.234,.000,.778,,.110,
282,Art Long,1.000,.250,.500,.000,.250,.000,,,.250,
455,Arvydas Sabonis,.971,.298,.312,.089,.271,.029,.833,1.000,.043,.000
104,Austin Croshere,.705,.270,.171,.110,.154,.295,.529,.943,.046,.353
245,Avery Johnson,.980,.333,.183,.150,.313,.020,.481,.000,.000,.333
118,Baron Davis,.714,.389,.077,.082,.166,.286,.432,.788,.040,.055
524,Ben Wallace,.991,.665,.196,.059,.073,.009,.551,1.000,.191,.000
107,Bill Curley,.957,.319,.319,.170,.149,.043,.625,1.000,.021,.500
392,Billy Owens,.913,.426,.130,.104,.252,.087,.482,1.000,.009,.500
95,Bimbo Coles,.933,.096,.192,.310,.335,.067,.348,.500,.000,.000
387,Bo Outlaw,.995,.755,.193,.038,.008,.005,.702,.000,.147,.000
497,Bob Sura,.668,.359,.145,.046,.118,.332,.458,.745,.002,.221
