,Player,G,MP,FTr,USG%
173,A.J. Guyton,2,9,.000,23.6
294,Aaron McKie,80,2374,.201,15.8
480,Aaron Williams,81,1597,.296,16.4
181,Adam Harrington,19,111,.108,16.5
147,Adonal Foyle,82,1787,.301,11.0
170,Adrian Griffin,74,1373,.095,13.2
184,Al Harrington,82,2467,.306,21.6
195,Alan Henderson,82,1494,.422,13.8
204,Allan Houston,82,3108,.270,27.0
216,Allen Iverson,82,3485,.379,32.9
139,Alton Ford,11,31,.333,17.8
481,Alvin Williams,78,2638,.264,19.7
290,Amal McCaskill,11,70,.235,13.6
427,Amar'e Stoudemire,82,2570,.583,21.5
299,Andre Miller,80,2913,.421,20.3
248,Andrei Kirilenko,80,2213,.576,19.6
115,Andrew DeClercq,77,1327,.373,13.8
178,Anfernee Hardaway,58,1777,.169,19.2
407,Ansu Sesay,45,448,.196,14.8
228,Antawn Jamison,82,3226,.323,24.5
82,Anthony Carter,49,912,.215,17.3
161,Anthony Goldwire,15,85,.280,18.7
233,Anthony Johnson,66,842,.320,16.3
283,Anthony Mason,65,2119,.298,11.5
356,Anthony Peeler,82,2245,.082,14.4
383,Antoine Rigaudeau,11,91,.000,20.4
458,Antoine Walker,78,3235,.184,27.9
108,Antonio Daniels,67,872,.409,13.3
109,Antonio Davis,53,1894,.437,21.3
188,Antonio Harvey,4,32,.000,11.5
261,Art Long,26,211,.133,21.3
395,Arvydas Sabonis,78,1209,.454,19.4
103,Austin Croshere,49,633,.311,18.9
234,Avery Johnson,48,430,.260,20.7
110,Baron Davis,50,1889,.164,24.0
460,Ben Wallace,73,2873,.432,10.2
94,Bimbo Coles,35,691,.250,13.8
342,Bo Outlaw,80,1800,.417,10.1
432,Bob Sura,55,1130,.451,17.9
217,Bobby Jackson,59,1676,.204,23.8
410,Bobby Simmons,36,378,.313,16.9
467,Bonzi Wells,75,2396,.316,25.9
322,Boštjan Nachbar,14,77,.323,24.8
300,Brad Miller,73,2270,.535,18.7
17,Brandon Armstrong,17,69,.222,22.6
482,Brandon Williams,6,19,.000,24.1
194,Brendan Haywood,81,1930,.723,12.5
25,Brent Barry,75,2480,.279,14.9
250,Brevin Knight,55,928,.162,16.4
81,Brian Cardinal,5,15,.500,18.5
168,Brian Grant,82,2641,.303,16.0
