,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
532,Aaron McKie,3,0.9,2.1,0.3,2.2,1.5,0.7,0.3,0.5,1.7
556,Aaron Williams,4,0.7,1.5,0.4,1.0,0.2,0.1,0.2,0.4,1.7
405,Adonal Foyle,50,2.0,4.0,2.1,3.4,0.7,0.3,2.0,0.7,2.6
531,Adrian Griffin,1,0.8,2.3,0.8,1.4,0.8,0.6,0.1,0.4,1.1
52,Al Harrington,66,6.9,14.9,2.2,4.8,3.2,1.3,0.2,3.1,3.8
279,Al Jefferson,1,2.7,5.2,1.7,2.7,0.3,0.3,0.8,0.9,2.7
457,Alan Henderson,10,1.5,2.8,2.1,2.4,0.3,0.4,0.5,0.6,1.9
568,Aleksandar Radojević,6,0.5,1.6,0.8,1.6,0.5,0.0,0.2,1.3,2.7
347,Alex Garcia,3,2.3,6.5,0.9,1.0,2.3,0.5,0.1,1.0,1.9
128,Allan Houston,11,4.3,10.3,0.2,1.0,2.1,0.4,0.1,1.1,2.0
0,Allen Iverson,75,10.3,24.2,0.7,3.3,7.9,2.4,0.1,4.6,1.9
237,Alonzo Mourning,17,2.7,5.7,1.4,3.9,0.5,0.2,2.0,1.5,2.2
4,Amar'e Stoudemire,80,9.3,16.7,2.7,6.2,1.6,1.0,1.6,2.4,3.5
382,Anderson Varejão,0,1.8,3.6,2.0,2.7,0.5,0.8,0.7,0.5,2.3
474,Andre Barrett,1,1.2,3.3,0.3,0.8,1.8,0.5,0.0,0.7,1.3
598,Andre Emmett,0,0.3,0.8,0.0,0.3,0.0,0.0,0.0,0.1,0.5
204,Andre Iguodala,82,3.3,6.7,1.1,4.6,3.0,1.7,0.6,1.7,2.5
95,Andre Miller,82,5.2,10.9,1.2,2.9,6.9,1.5,0.1,2.7,2.5
71,Andrei Kirilenko,37,5.0,10.2,2.2,4.0,3.2,1.6,3.3,2.2,2.5
590,Andrew DeClercq,0,0.5,1.1,0.9,0.4,0.0,0.3,0.0,0.1,1.8
453,Andris Biedriņš,1,1.5,2.6,1.6,2.4,0.4,0.4,0.8,0.4,2.9
216,Andrés Nocioni,38,3.0,7.4,0.9,3.9,1.5,0.5,0.4,1.7,2.6
258,Anfernee Hardaway,0,3.0,7.0,0.5,1.9,2.0,0.8,0.1,1.4,2.1
484,Ansu Sesay,0,1.1,2.6,1.1,1.3,0.8,0.1,0.2,0.5,1.0
32,Antawn Jamison,68,7.6,17.5,2.4,5.3,2.3,0.8,0.2,1.7,2.2
504,Anthony Carter,12,1.1,2.7,0.2,0.9,2.4,0.5,0.3,0.9,1.3
361,Anthony Goldwire,2,1.7,4.1,0.3,1.5,2.4,0.5,0.0,0.5,1.0
215,Anthony Johnson,36,3.2,7.2,0.5,2.3,4.8,0.9,0.2,1.5,2.3
542,Anthony Miller,0,1.0,1.5,0.0,0.5,0.5,0.5,0.0,0.5,1.0
444,Anthony Peeler,0,1.4,3.8,0.4,1.3,1.4,0.5,0.1,0.7,1.0
40,Antoine Walker,77,7.5,17.9,2.4,6.7,3.4,1.2,0.8,3.3,2.8
490,Antonio Burks,0,1.2,2.5,0.0,0.5,1.2,0.5,0.0,0.5,1.0
151,Antonio Daniels,2,3.6,8.3,0.3,2.0,4.1,0.7,0.0,1.0,1.0
273,Antonio Davis,62,2.7,5.8,2.1,3.8,1.1,0.4,0.6,1.3,2.0
189,Antonio McDyess,8,4.0,7.8,2.3,4.0,0.9,0.6,0.7,1.2,2.6
205,Austin Croshere,22,2.6,6.8,1.4,3.7,1.3,0.7,0.2,1.4,2.1
599,Awvee Storey,0,0.3,1.1,0.4,0.1,0.1,0.0,0.0,0.0,0.3
37,Baron Davis,32,6.3,16.3,0.7,3.1,7.9,1.8,0.3,2.8,2.7
80,Ben Gordon,3,5.3,12.9,0.7,2.0,2.0,0.6,0.1,2.3,2.7
407,Ben Handlogten,5,2.0,4.0,1.1,2.0,0.6,0.3,0.2,0.9,2.6
184,Ben Wallace,74,4.0,8.8,3.9,8.2,1.7,1.4,2.4,1.1,2.1
330,Beno Udrih,2,2.2,4.9,0.2,0.8,1.9,0.5,0.1,1.0,1.2
494,Bernard Robinson,1,1.2,2.6,0.5,1.1,1.0,0.4,0.1,0.6,1.4
449,Billy Thomas,0,1.4,3.8,0.3,1.2,0.7,0.6,0.0,0.4,1.2
601,Bo Outlaw,0,0.3,0.9,0.4,0.9,0.3,0.2,0.3,0.2,0.7
