,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
355,Aaron Brooks,0,1.8,4.4,1.0,0.3,0.8,1.7,0.3,0.1,0.9,1.4
403,Aaron Gray,1,1.7,3.3,1.6,1.1,1.6,0.7,0.3,0.3,0.9,1.9
512,Aaron Williams,5,0.9,1.8,0.6,0.5,1.5,0.3,0.4,0.5,0.4,1.5
406,Acie Law,6,1.7,4.2,0.9,0.2,0.8,2.0,0.5,0.0,1.0,1.3
547,Adonal Foyle,0,0.9,1.9,0.4,0.9,1.7,0.2,0.2,0.5,0.4,1.1
543,Adrian Griffin,2,0.9,2.2,0.3,0.8,0.9,0.8,0.5,0.1,0.6,0.8
92,Al Harrington,59,5.0,11.4,2.3,1.3,4.1,1.6,0.9,0.2,1.1,3.3
171,Al Horford,77,4.1,8.2,2.6,3.1,6.6,1.5,0.7,0.9,1.7,3.3
22,Al Jefferson,82,8.8,17.6,4.8,3.8,7.4,1.4,0.9,1.5,2.0,2.7
108,Al Thornton,31,4.7,11.0,3.6,1.2,3.3,1.2,0.6,0.5,1.6,2.5
446,Alando Tucker,0,1.3,3.7,1.0,0.7,0.7,0.0,0.0,0.2,0.0,0.3
405,Alexander Johnson,6,1.4,2.9,1.9,0.7,1.4,0.3,0.3,0.2,1.0,1.9
2,Allen Iverson,82,8.7,19.0,9.7,0.6,2.4,7.1,2.0,0.1,3.0,1.3
304,Alonzo Mourning,0,2.1,3.8,3.0,1.4,2.4,0.3,0.2,1.7,1.0,2.2
4,Amar'e Stoudemire,79,9.0,15.3,8.7,2.3,6.8,1.5,0.8,2.1,2.2,3.7
450,Amir Johnson,0,1.5,2.7,0.9,1.4,2.4,0.5,0.4,1.3,0.6,2.3
279,Anderson Varejão,13,2.8,6.1,1.7,2.8,5.5,1.1,0.8,0.5,1.2,2.8
254,Andray Blatche,15,3.1,6.5,1.9,2.0,3.2,1.1,0.6,1.4,1.4,3.1
578,Andre Barrett,0,0.5,1.3,0.5,0.0,0.3,1.8,0.0,0.0,0.3,0.3
478,Andre Brown,1,1.2,2.4,1.5,1.1,1.7,0.2,0.2,0.1,0.4,1.2
33,Andre Iguodala,82,7.1,15.6,6.2,1.0,4.4,4.8,2.1,0.6,2.6,2.3
61,Andre Miller,82,6.9,14.1,4.1,1.2,2.8,6.9,1.3,0.1,2.5,2.2
418,Andre Owens,7,1.3,3.5,1.1,0.4,1.1,1.5,0.4,0.1,0.8,1.2
165,Andrea Bargnani,53,3.6,9.3,2.2,0.6,3.1,1.1,0.3,0.5,1.1,2.7
148,Andrei Kirilenko,72,3.8,7.6,3.6,1.7,3.0,4.0,1.2,1.5,1.9,2.3
79,Andrew Bogut,78,6.0,11.7,4.1,3.1,6.6,2.6,0.8,1.7,2.2,3.3
101,Andrew Bynum,25,5.4,8.5,3.4,3.0,7.2,1.7,0.3,2.1,1.5,2.8
160,Andris Biedriņš,59,4.5,7.1,2.5,3.4,6.4,1.0,0.7,1.2,1.1,3.4
98,Andrés Nocioni,27,4.6,10.7,3.0,0.6,3.6,1.2,0.3,0.5,1.6,3.0
436,Anfernee Hardaway,8,1.4,3.8,0.6,0.2,2.0,2.2,1.2,0.1,0.8,1.5
17,Antawn Jamison,79,7.8,17.9,5.5,2.7,7.5,1.5,1.3,0.4,1.4,2.5
241,Anthony Carter,67,3.1,6.8,1.2,0.4,2.5,5.5,1.5,0.4,1.8,2.5
330,Anthony Johnson,52,2.2,5.1,0.6,0.3,1.7,3.8,0.8,0.1,1.2,1.7
