,Player,G,MP,USG%
79,Aaron Brooks,80,1998,22.9
219,Aaron Gray,56,715,14.5
322,Acie Law,55,560,16.3
389,Adam Morrison,52,711,17.5
189,Adonal Foyle,10,62,12.4
228,Al Harrington,73,2546,25.7
256,Al Horford,67,2242,16.4
289,Al Jefferson,50,1836,28.9
544,Al Thornton,71,2654,22.6
546,Alando Tucker,30,282,23.3
0,Alex Acker,25,199,20.1
7,Alexis Ajinça,31,182,24.2
273,Allen Iverson,57,2093,25.7
524,Amar'e Stoudemire,53,1948,24.2
294,Amir Johnson,62,911,11.1
553,Anderson Varejão,81,2306,14.2
60,Andray Blatche,71,1703,21.9
80,Andre Brown,4,41,14.8
269,Andre Iguodala,82,3269,22.3
372,Andre Miller,82,2976,21.8
38,Andrea Bargnani,78,2453,22.7
313,Andrei Kirilenko,67,1831,20.3
65,Andrew Bogut,36,1124,17.8
96,Andrew Bynum,50,1446,20.7
55,Andris Biedriņš,62,1863,16.9
406,Andrés Nocioni,76,1991,20.1
286,Antawn Jamison,81,3096,25.9
105,Anthony Carter,78,1787,14.3
295,Anthony Johnson,80,1481,15.5
392,Anthony Morrow,67,1515,17.7
426,Anthony Parker,80,2637,16.3
450,Anthony Randolph,63,1129,21.7
465,Anthony Roberson,29,276,20.6
545,Anthony Tolliver,19,208,17.8
595,Antoine Wright,65,1552,15.6
136,Antonio Daniels,74,1021,15.9
360,Antonio McDyess,62,1866,15.7
4,Arron Afflalo,74,1234,14.5
130,Austin Croshere,14,100,23.0
142,Baron Davis,65,2248,25.2
212,Ben Gordon,82,2999,25.0
561,Ben Wallace,56,1314,7.8
550,Beno Udrih,73,2270,18.2
6,Blake Ahearn,3,19,20.1
81,Bobby Brown,68,931,21.3
278,Bobby Jackson,71,1484,18.0
498,Bobby Simmons,71,1729,14.3
147,Boris Diaw,81,2754,19.7
373,Brad Miller,70,2100,18.4
596,Brandan Wright,39,688,19.0
41,Brandon Bass,81,1574,20.0
476,Brandon Roy,78,2903,27.4
478,Brandon Rush,75,1803,16.4
240,Brendan Haywood,6,175,17.7
40,Brent Barry,56,857,12.4
315,Brevin Knight,74,938,13.5
100,Brian Cardinal,64,909,11.5
119,Brian Cook,30,171,24.8
487,Brian Scalabrine,39,504,12.4
509,Brian Skinner,51,843,14.5
329,Brook Lopez,82,2501,20.3
73,Bruce Bowen,80,1506,7.2
369,C.J. Miles,72,1623,18.4
566,C.J. Watson,77,1883,16.8
68,Calvin Booth,8,56,11.6
321,Carl Landry,69,1467,18.1
71,Carlos Boozer,37,1197,24.4
