,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
0,Aaron Gordon,ORL,80,29,51,28.7,12.7,38.7,27.3,1.6,2.4,1.6,0.329,1.1,1.1,3.3,0.919,0.692,1.142,3.5,0.7,1.7,39.6,0.5,0.7,74.1,56.9,0.9,25.4,0.3,9.1,0.2,5.1,0.4,10.5,2.0,39.6,2.8,33.3,2.2,32.4,3.8,72.1,0.8,50.0,1.0,68.2,49.9,1.5,0.8,55.2,3.4,42.6,0.1,43.6,7.5,3.7,0.8,22.8,6.0,60.6,0.4,65.1,6.6,0.8,0.5,1.5,2.4,61.0
1,Adreian Payne,MIN,18,5,13,7.5,3.5,16.0,8.5,0.5,1.76,0.46,0.219,0.8,0.6,1.2,1.0,0.364,0.619,0.9,0.2,0.4,42.9,0.2,0.2,100.0,58.8,0.4,41.2,0.0,0.0,0.1,5.9,0.1,11.8,0.6,42.9,0.9,33.3,0.3,37.5,0.7,36.4,0.2,66.7,0.8,75.0,45.4,0.6,0.3,55.6,1.4,40.9,0.1,42.9,10.3,1.5,0.3,16.7,2.0,75.0,0.2,82.8,4.7,0.4,0.4,0.7,1.2,57.1
2,Al-Farouq Aminu,POR,61,33,28,29.1,8.7,41.1,19.7,1.3,1.97,1.02,0.212,1.4,0.4,2.4,0.2,0.348,0.578,4.1,0.7,1.6,41.7,0.6,0.8,72.0,48.2,1.2,29.3,0.3,7.2,0.5,11.6,0.4,10.4,2.0,41.7,3.6,34.3,0.5,35.9,1.4,49.2,0.1,37.5,0.3,23.5,46.8,1.3,0.7,50.6,3.3,39.3,0.1,40.1,7.2,6.2,1.9,29.7,10.6,58.7,1.0,64.5,5.5,1.0,0.7,2.1,3.4,60.0
3,Alan Anderson,LAC,30,20,10,10.3,2.9,10.2,7.1,0.4,2.39,1.24,0.28,0.1,0.1,0.1,0.0,0.5,0.5,1.8,0.4,0.8,47.8,0.2,0.3,87.5,57.4,0.5,27.8,0.2,9.3,0.2,9.3,0.1,7.4,1.0,47.8,1.2,31.6,0.4,23.8,0.1,100.0,0.1,50.0,0.0,0.0,46.3,0.2,0.2,100.0,0.9,23.1,0.2,30.0,8.9,1.4,0.1,9.5,2.3,61.8,0.1,65.6,6.8,0.1,0.0,0.6,0.6,89.5
4,Alan Williams,PHX,47,11,36,15.1,7.4,22.3,12.7,0.5,1.32,0.41,0.33,2.3,1.5,5.3,0.532,0.529,0.903,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,38.1,0.0,16.7,4.8,53.1,0.8,44.4,1.2,44.8,51.7,2.4,1.5,63.8,5.4,44.5,0.1,45.4,6.1,5.1,1.7,33.5,7.8,65.0,0.5,69.4,4.2,0.6,0.7,1.8,3.2,54.6
5,Alex Abrines,OKC,68,37,31,15.5,6.0,18.6,13.5,0.5,1.67,0.79,0.322,0.3,0.0,0.3,0.333,0.0,0.318,1.0,0.2,0.5,45.7,0.1,0.1,100.0,60.0,0.3,27.7,0.1,6.2,0.1,6.2,0.0,4.6,0.6,45.7,4.1,39.8,0.5,26.5,0.1,25.0,0.0,0.0,0.1,33.3,53.1,0.4,0.2,44.4,1.2,36.0,0.0,37.5,10.6,1.6,0.4,23.9,3.0,52.3,0.3,57.3,8.1,0.5,0.1,0.9,1.4,63.4
6,Alex Poythress,PHI,6,0,6,26.1,10.7,53.7,32.0,1.2,1.32,0.47,0.199,1.0,0.0,3.3,0.5,0.0,0.7,3.2,0.8,1.7,50.0,0.7,1.0,66.7,73.7,1.0,31.6,0.0,0.0,0.0,0.0,0.5,15.8,2.3,50.0,3.0,31.6,0.3,50.0,2.3,50.0,0.0,0.0,0.5,50.0,51.9,1.8,1.2,63.6,4.2,44.0,0.0,44.0,4.8,3.0,1.2,38.9,7.0,42.9,0.7,47.4,7.2,0.5,0.3,1.0,1.5,66.7
7,Alonzo Gee,DEN,13,4,9,6.9,0.8,7.3,5.5,0.2,2.05,1.25,0.116,0.2,0.0,0.8,0.0,0.0,0.4,0.5,0.2,0.2,66.7,0.2,0.3,75.0,133.3,0.0,0.0,0.1,16.7,0.0,0.0,0.2,33.3,0.6,66.7,0.0,0.0,0.0,0.0,0.3,33.3,0.0,0.0,0.0,0.0,21.4,0.5,0.3,50.0,1.1,44.4,0.1,50.0,4.4,1.4,0.5,36.4,2.4,57.9,0.5,73.3,6.1,0.4,0.1,0.2,0.2,66.7
8,Amir Johnson,BOS,80,51,29,20.1,6.5,30.4,19.9,0.8,1.5,0.53,0.214,1.4,0.9,4.3,0.345,0.296,0.933,0.6,0.2,0.4,55.2,0.0,0.0,50.0,79.5,0.1,18.2,0.0,0.0,0.1,13.6,0.0,2.3,0.4,55.2,1.0,39.7,0.1,37.5,4.0,68.1,0.3,36.0,0.5,44.7,61.2,1.5,1.1,70.3,4.1,36.4,0.1,37.3,5.3,3.1,1.3,42.3,6.5,48.2,0.7,53.6,4.5,0.6,0.8,2.0,3.8,52.3
9,Andre Iguodala,GSW,76,64,12,26.3,7.6,41.2,24.1,1.9,2.79,1.83,0.183,1.1,0.7,2.1,0.298,0.415,0.703,1.4,0.2,0.3,54.2,0.1,0.2,64.3,33.7,0.6,44.2,0.3,22.1,0.0,2.9,0.1,6.7,0.5,54.2,2.5,36.1,0.9,49.2,1.5,82.3,0.3,60.0,0.3,55.0,60.5,0.7,0.3,43.1,1.4,48.6,0.1,52.0,10.2,3.4,0.8,24.1,6.1,56.3,0.4,60.4,9.3,1.0,0.5,1.3,1.9,66.4
