,Player,G,MP,TS%,3PAr,FTr,USG%
189,Aaron Gordon,78,1863,.541,.245,.333,17.3
439,Adreian Payne,52,486,.422,.221,.179,17.7
580,Alan Williams,10,68,.481,.000,.583,22.6
516,Alex Stepheson,8,73,.341,.000,.444,19.8
287,Amir Johnson,79,1800,.602,.101,.284,13.6
414,Andrew Nicholson,56,823,.567,.368,.210,20.4
50,Anthony Bennett,19,84,.446,.519,.370,19.2
542,Anthony Tolliver,72,1341,.543,.819,.142,12.4
206,Blake Griffin,35,1170,.544,.030,.322,29.8
449,Bobby Portis,62,1102,.469,.119,.151,20.7
132,Boris Diaw,76,1386,.582,.180,.198,17.0
592,Brandan Wright,12,212,.663,.000,.462,15.4
125,Branden Dawson,6,29,.460,.000,.200,8.5
41,Brandon Bass,66,1342,.619,.006,.467,13.9
320,Carl Landry,36,569,.605,.052,.364,24.0
174,Channing Frye,44,754,.586,.651,.113,13.2
557,Charlie Villanueva,62,665,.473,.526,.073,25.3
63,Chris Bosh,53,1778,.571,.289,.349,24.7
106,Chris Copeland,24,156,.462,.706,.137,17.3
368,Chris McCullough,24,362,.470,.312,.211,16.5
590,Christian Wood,17,145,.490,.208,.396,19.4
7,Cliff Alexander,8,36,.500,.000,.000,13.3
278,Cory Jefferson,8,50,.446,.045,.273,21.0
27,Darrell Arthur,70,1516,.514,.239,.108,16.7
331,David Lee,55,903,.568,.003,.278,21.5
574,David West,78,1404,.573,.016,.179,18.0
158,Derrick Favors,62,1983,.551,.005,.313,23.9
421,Dirk Nowitzki,75,2364,.555,.308,.252,25.5
402,Donatas Motiejūnas,37,547,.504,.278,.259,21.4
197,Draymond Green,81,2808,.587,.315,.402,18.8
187,Drew Gooden,30,305,.376,.398,.136,17.5
452,Dwight Powell,69,992,.557,.054,.480,18.4
124,Ed Davis,81,1684,.616,.000,.605,12.7
396,Eric Moreland,8,48,.515,.000,.667,9.5
267,Ersan İlyasova,74,1881,.526,.392,.233,18.6
498,Greg Smith,18,192,.545,.000,.531,10.8
202,JaMychal Green,78,1446,.520,.091,.277,19.8
