,Player,Fouls Drawn - Shoot
68,Aaron Brooks,26
189,Aaron Gordon,87
225,Aaron Harrison,2
439,Adreian Payne,8
256,Al Horford,58
277,Al Jefferson,59
10,Al-Farouq Aminu,76
15,Alan Anderson,7
580,Alan Williams,7
78,Alec Burks,60
334,Alex Len,114
516,Alex Stepheson,6
4,Alexis Ajinça,29
112,Allen Crabbe,45
182,Alonzo Gee,32
522,Amar'e Stoudemire,33
287,Amir Johnson,43
552,Anderson Varejão,24
138,Andre Drummond,200
266,Andre Iguodala,29
384,Andre Miller,14
466,Andre Roberson,25
37,Andrea Bargnani,26
59,Andrew Bogut,12
193,Andrew Goudelock,0
414,Andrew Nicholson,28
578,Andrew Wiggins,261
50,Anthony Bennett,3
69,Anthony Brown,9
123,Anthony Davis,172
401,Anthony Morrow,12
542,Anthony Tolliver,18
188,Archie Goodwin,90
44,Aron Baynes,64
3,Arron Afflalo,68
465,Austin Rivers,48
64,Avery Bradley,51
543,Axel Toupane,10
373,Ben McLemore,40
548,Beno Udrih,10
52,Bismack Biyombo,89
206,Blake Griffin,81
352,Boban Marjanović,48
449,Bobby Portis,29
58,Bojan Bogdanović,55
132,Boris Diaw,35
47,Bradley Beal,69
592,Brandan Wright,15
125,Branden Dawson,1
41,Brandon Bass,77
283,Brandon Jennings,29
316,Brandon Knight,59
480,Brandon Rush,10
467,Brian Roberts,21
568,Briante Weber,0
342,Brook Lopez,195
82,Bruno Caboclo,0
107,Bryce Cotton,0
127,Bryce Dejean-Jones,10
383,C.J. Miles,57
567,C.J. Watson,15
579,C.J. Wilcox,2
366,CJ McCollum,85
34,Cameron Bairstow,3
440,Cameron Payne,12
320,Carl Landry,39
23,Carmelo Anthony,159
79,Caron Butler,4
435,Chandler Parsons,64
173,Channing Frye,13
557,Charlie Villanueva,9
73,Chase Budinger,28
12,Chris Andersen,12
63,Chris Bosh,127
106,Chris Copeland,3
288,Chris Johnson,18
307,Chris Kaman,2
368,Chris McCullough,12
438,Chris Paul,68
590,Christian Wood,9
228,Chuck Hayes,1
144,Cleanthony Early,1
7,Cliff Alexander,0
86,Clint Capela,78
599,Cody Zeller,105
5,Cole Aldrich,40
67,Corey Brewer,61
278,Cory Jefferson,3
306,Cory Joseph,66
99,Coty Clarke,0
327,Courtney Lee,42
159,Cristiano Felício,16
481,D'Angelo Russell,89
29,D.J. Augustin,50
300,Dahntay Jones,0
338,Damian Lillard,171
271,Damien Inglis,3
479,Damjan Rudež,2
176,Danilo Gallinari,179
196,Danny Green,15
116,Dante Cunningham,41
27,Darrell Arthur,26
102,Darren Collison,91
241,Darrun Hilliard,17
331,David Lee,44
574,David West,40
305,DeAndre Jordan,150
55,DeJuan Blair,6
131,DeMar DeRozan,273
110,DeMarcus Cousins,277
87,DeMarre Carroll,21
593,Delon Wright,14
486,Dennis Schröder,72
581,Deron Williams,70
158,Derrick Favors,126
474,Derrick Rose,90
582,Derrick Williams,130
61,Devin Booker,95
219,Devin Harris,52
351,Devyn Marble,11
126,Dewayne Dedmon,36
563,Dion Waiters,72
421,Dirk Nowitzki,91
496,Donald Sloan,44
402,Donatas Motiejūnas,22
370,Doug McDermott,34
197,Draymond Green,150
187,Drew Gooden,6
