,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
222,Aaron Gordon,68,2055,.564,8.8,.773,.481,.180,.063,.035,.227,.628,.779,.394,.292,.333,.347,.618,.733,.312,.259
577,Admiral Schofield,37,451,.451,16.4,.393,.221,.164,.008,.000,.607,.646,.704,.600,.000,,.324,.645,.958,.351,.385
515,Aleksej Pokusevski,34,701,.434,13.2,.582,.305,.201,.052,.024,.418,.483,.645,.300,.308,.333,.365,.600,.974,.279,.379
321,Alize Johnson,4,30,.500,12.8,.667,.667,.000,.000,.000,.333,.750,.750,,,,.000,.333,,.500,.000
301,Andre Iguodala,8,113,.467,15.9,.400,.267,.133,.000,.000,.600,1.000,1.000,1.000,,,.111,.667,1.000,.222,.000
218,Anthony Gill,59,624,.538,8.7,.780,.311,.409,.053,.008,.220,.650,.780,.593,.429,.000,.138,.672,1.000,.621,.167
520,Bobby Portis,70,1818,.496,13.3,.680,.230,.202,.172,.076,.320,.555,.643,.549,.471,.492,.370,.597,1.000,.350,.278
65,Bojan Bogdanović,59,1893,.488,15.2,.600,.144,.214,.169,.073,.400,.539,.685,.487,.537,.406,.411,.537,.828,.297,.419
66,Bol Bol,70,1505,.546,10.7,.764,.324,.264,.107,.069,.236,.633,.871,.492,.471,.303,.265,.537,.767,.239,.185
125,Brandon Clarke,56,1090,.656,5.1,.983,.496,.318,.146,.023,.017,.665,.792,.568,.451,.625,.167,.768,1.000,1.000,.167
322,Cameron Johnson,42,1199,.470,17.0,.462,.198,.097,.089,.078,.538,.548,.691,.435,.429,.459,.404,.600,.971,.361,.424
436,Chimezie Metu,66,689,.589,7.5,.826,.466,.274,.055,.014,.174,.663,.804,.483,.250,.667,.237,.750,1.000,.079,.000
70,Chris Boucher,76,1523,.493,11.1,.643,.412,.164,.036,.023,.357,.585,.651,.460,.421,.583,.328,.568,.984,.487,.359
588,Chris Silva,1,3,1.000,7.4,1.000,.000,1.000,.000,.000,.000,1.000,,1.000,,,,.000,,,
