,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
258,Aaron Gordon,78,2633,.449,13.0,.668,.328,.129,.116,.096,.332,.499,.671,.311,.355,.340,.349,.504,.843,.251,.402
12,Al-Farouq Aminu,81,2292,.433,13.9,.528,.351,.105,.029,.044,.472,.514,.611,.419,.118,.231,.343,.516,1.000,.311,.356
705,Alan Williams,5,26,.615,7.6,.923,.308,.385,.231,.000,.077,.667,.750,.600,.667,,.000,.750,,.000,
570,Alex Poythress,21,305,.494,8.4,.716,.617,.074,.000,.025,.284,.534,.600,.167,,.000,.391,.710,1.000,.696,.438
354,Alize Johnson,14,64,.250,9.7,.875,.250,.438,.063,.125,.125,.214,.500,.143,.000,.000,.500,.000,1.000,.500,1.000
348,Amile Jefferson,12,68,.625,2.8,1.000,.750,.250,.000,.000,.000,.625,.750,.250,,,,.700,,,
670,Anthony Tolliver,65,1079,.382,22.1,.170,.093,.039,.012,.027,.830,.409,.500,.200,.000,.571,.377,.611,1.000,.265,.351
274,Blake Griffin,75,2622,.462,13.1,.611,.283,.241,.054,.034,.389,.525,.686,.433,.208,.333,.362,.340,.561,.178,.398
565,Bobby Portis,50,1299,.444,12.6,.696,.272,.236,.084,.104,.304,.467,.573,.439,.434,.277,.393,.534,1.000,.105,.350
109,Bruno Caboclo,34,800,.427,15.8,.422,.276,.120,.013,.013,.578,.505,.597,.296,.000,1.000,.369,.667,.979,.400,.327
650,Caleb Swanigan,21,178,.340,9.0,.868,.358,.302,.113,.094,.132,.370,.579,.313,.167,.000,.143,.471,1.000,.571,.250
21,Carmelo Anthony,10,294,.405,18.5,.471,.149,.066,.124,.132,.529,.491,.611,.500,.467,.375,.328,.429,.905,.047,.333
182,Cheick Diallo,64,896,.620,6.3,.985,.480,.292,.148,.066,.015,.625,.746,.532,.500,.444,.250,.826,1.000,.500,.000
473,Chimezie Metu,29,145,.328,9.6,.966,.190,.414,.172,.190,.034,.339,.545,.458,.200,.000,.000,.632,,.000,
72,Chris Boucher,28,163,.447,13.3,.513,.368,.132,.000,.013,.487,.564,.750,.100,,.000,.324,.636,1.000,.189,.429
716,Christian Wood,21,251,.521,9.2,.778,.427,.248,.051,.051,.222,.571,.740,.345,.500,.333,.346,.673,1.000,.192,.200
713,D.J. Wilson,48,882,.414,15.7,.494,.239,.124,.080,.052,.506,.468,.567,.387,.350,.385,.362,.776,.957,.394,.380
163,Dante Cunningham,64,928,.475,13.7,.589,.291,.152,.063,.082,.411,.484,.630,.375,.600,.077,.462,.578,.967,.631,.415
599,Dario Šarić,81,2023,.437,15.0,.536,.302,.102,.045,.088,.464,.499,.657,.296,.226,.328,.365,.742,.966,.164,.321
117,DeMarre Carroll,67,1703,.395,16.3,.461,.203,.141,.071,.045,.539,.457,.615,.346,.293,.346,.342,.620,.962,.303,.362
522,Dirk Nowitzki,51,795,.359,20.9,.455,.011,.064,.144,.237,.545,.415,.750,.292,.481,.393,.312,.817,1.000,.098,.350
504,Donatas Motiejūnas,3,13,.500,7.8,1.000,.333,.333,.333,.000,.000,.500,.500,.500,.500,,,1.000,,,
55,Dragan Bender,46,826,.447,14.0,.487,.376,.096,.005,.010,.513,.688,.784,.421,.000,.000,.218,.682,1.000,.257,.231
267,Draymond Green,66,2065,.445,13.4,.609,.358,.135,.066,.050,.391,.549,.702,.316,.393,.286,.285,.702,.936,.133,.455
211,Drew Eubanks,23,113,.577,5.4,1.000,.269,.731,.000,.000,.000,.577,.571,.579,,,,.733,,,
57,Dāvis Bertāns,76,1632,.450,21.8,.254,.073,.071,.057,.053,.746,.513,.758,.344,.500,.417,.429,.831,.986,.139,.596
660,Emanuel Terry,3,23,.571,1.6,1.000,1.000,.000,.000,.000,.000,.571,.571,,,,,.750,,,
494,Eric Moreland,5,43,.429,6.7,.857,.429,.429,.000,.000,.143,.333,.333,.333,,,1.000,.000,1.000,.000,
332,Ersan İlyasova,67,1231,.438,13.8,.580,.354,.115,.058,.052,.420,.493,.615,.250,.364,.350,.363,.697,1.000,.244,.333
141,Gary Clark,51,641,.331,23.5,.086,.060,.020,.007,.000,.914,.692,.889,.333,.000,,.297,.556,.927,.283,.179
519,Georges Niang,59,516,.475,16.7,.420,.160,.182,.061,.017,.580,.566,.690,.515,.545,.000,.410,.512,.953,.400,.381
19,Giannis Antetokounmpo,72,2358,.578,7.7,.837,.573,.152,.051,.063,.163,.641,.769,.339,.381,.410,.256,.472,.673,.044,.222
297,Gordon Hayward,72,1863,.466,14.6,.636,.231,.132,.135,.137,.364,.542,.653,.536,.488,.414,.333,.607,.870,.294,.412
722,Guerschon Yabusele,41,251,.455,12.4,.636,.286,.286,.026,.039,.364,.531,.727,.364,.500,.333,.321,.615,1.000,.214,.167
40,Harrison Barnes,49,1584,.404,15.0,.566,.197,.195,.099,.075,.434,.416,.617,.336,.296,.259,.389,.485,.876,.277,.442
254,Harry Giles,58,820,.503,7.1,.983,.394,.325,.161,.103,.017,.512,.686,.416,.393,.333,.000,.651,,.333,.000
201,Henry Ellenson,19,259,.411,13.7,.600,.253,.211,.074,.063,.400,.386,.542,.200,.429,.333,.447,.727,.882,.395,.333
295,Isaiah Hartenstein,28,221,.488,5.4,.854,.683,.171,.000,.000,.146,.514,.571,.286,,,.333,.833,1.000,.333,.500
303,Isaiah Hicks,3,32,.500,7.6,1.000,.500,.125,.250,.125,.000,.500,.500,.000,.500,1.000,,.500,,,
573,Ivan Rabb,49,721,.547,7.6,.929,.429,.269,.090,.142,.071,.574,.692,.596,.526,.200,.200,.664,1.000,.400,.000
270,JaMychal Green,65,1371,.483,13.0,.630,.345,.134,.055,.097,.370,.530,.652,.328,.500,.391,.403,.623,.958,.278,.449
543,Jabari Parker,64,1724,.493,11.8,.740,.364,.148,.088,.139,.260,.556,.714,.432,.409,.365,.313,.484,.869,.241,.383
359,James Johnson,55,1164,.433,13.2,.607,.314,.187,.069,.037,.393,.496,.622,.408,.269,.286,.336,.518,.860,.282,.381
196,Jared Dudley,59,1220,.423,18.2,.368,.209,.079,.025,.054,.632,.545,.620,.368,.500,.538,.351,.875,1.000,.205,.452
449,Jarell Martin,42,328,.413,18.4,.452,.173,.058,.019,.202,.548,.489,.778,.333,.000,.333,.351,.696,1.000,.474,.333
341,Jaren Jackson Jr.,58,1515,.506,9.9,.759,.326,.334,.080,.019,.241,.553,.729,.426,.426,.273,.359,.636,.941,.246,.200
683,Jarred Vanderbilt,17,69,.474,4.4,.947,.684,.211,.000,.053,.053,.500,.615,.250,,.000,.000,.778,,1.000,.000
635,Jason Smith,6,40,.308,18.7,.308,.231,.000,.077,.000,.692,.250,.333,,.000,,.333,1.000,1.000,.111,1.000
273,Jeff Green,77,2097,.475,15.9,.534,.242,.124,.080,.089,.466,.586,.771,.471,.364,.443,.347,.614,.973,.281,.389
263,Jerami Grant,80,2612,.497,11.4,.644,.420,.141,.045,.038,.356,.555,.679,.293,.324,.419,.392,.786,.991,.515,.397
333,Joe Ingles,82,2568,.448,17.3,.398,.191,.133,.042,.031,.602,.533,.667,.439,.382,.320,.391,.388,.825,.261,.444
144,John Collins,61,1829,.560,7.6,.810,.543,.189,.060,.018,.190,.609,.734,.369,.360,.200,.348,.727,1.000,.310,.490
505,Johnathan Motley,22,156,.534,4.7,.959,.493,.397,.068,.000,.041,.557,.722,.414,.200,,.000,.615,,.333,.000
414,Jon Leuer,41,402,.584,8.4,.903,.389,.239,.195,.080,.097,.637,.909,.519,.318,.444,.091,.754,1.000,.455,.000
68,Jonah Bolden,44,639,.494,16.3,.407,.333,.037,.019,.019,.593,.697,.796,.333,.000,.333,.354,.739,1.000,.198,.368
353,Jonas Jerebko,73,1218,.459,16.7,.470,.262,.079,.042,.087,.530,.563,.667,.286,.600,.484,.367,.766,1.000,.271,.392
337,Jonathan Isaac,75,1996,.429,14.7,.565,.296,.088,.082,.098,.435,.510,.641,.407,.320,.367,.323,.653,.988,.376,.330
300,Juancho Hernangómez,70,1358,.439,15.8,.424,.296,.092,.013,.022,.576,.541,.667,.138,.500,.571,.365,.722,.985,.293,.321
575,Julius Randle,73,2232,.524,8.3,.821,.446,.274,.062,.039,.179,.564,.689,.426,.412,.333,.344,.490,.910,.164,.344
537,Kelly Olynyk,79,1812,.463,16.5,.434,.246,.113,.037,.037,.566,.604,.719,.516,.381,.333,.354,.696,.982,.219,.371
389,Kevin Knox,75,2158,.370,15.2,.602,.221,.149,.102,.130,.398,.387,.500,.353,.344,.269,.343,.479,.896,.203,.365
425,Kevin Love,22,598,.385,16.7,.481,.212,.120,.078,.071,.519,.412,.517,.412,.273,.250,.361,.518,.906,.197,.448
20,Kostas Antetokounmpo,2,11,.000,4.0,1.000,.333,.667,.000,.000,.000,.000,.000,.000,,,,,,,
393,Kyle Korver,16,251,.461,22.3,.289,.026,.066,.053,.145,.711,.455,.500,.800,.750,.182,.463,.800,1.000,.241,.615
397,Kyle Kuzma,70,2314,.456,13.3,.612,.288,.203,.072,.049,.388,.553,.661,.471,.487,.358,.303,.614,.922,.201,.353
666,Lance Thomas,46,783,.396,15.1,.599,.218,.137,.076,.168,.401,.475,.651,.333,.333,.424,.278,.732,1.000,.544,.302
448,Lauri Markkanen,52,1682,.430,15.0,.582,.224,.180,.101,.078,.418,.479,.624,.434,.325,.371,.361,.527,.975,.114,.368
456,Luc Mbah a Moute,4,61,.444,10.7,.667,.444,.167,.000,.056,.333,.500,.500,.333,,1.000,.333,.667,1.000,.500,.000
