,Player,G,MP,TS%,3PAr,FTr,USG%
253,Aaron Gordon,73,2297,.607,.193,.376,17.8
602,Adama Sanogo,9,66,.558,.000,.444,24.8
607,Admiral Schofield,23,84,.484,.615,.077,16.6
545,Aleksej Pokusevski,28,405,.525,.455,.339,17.2
244,Anthony Gill,50,466,.537,.256,.225,18.0
553,Bobby Portis,82,2008,.581,.268,.135,22.9
77,Bojan Bogdanović,28,921,.600,.487,.245,24.7
79,Bol Bol,43,469,.700,.344,.126,16.5
136,Brandon Clarke,6,134,.548,.102,.119,20.8
346,Cameron Johnson,58,1599,.582,.570,.176,19.6
85,Chris Boucher,50,705,.625,.433,.424,17.3
752,Christian Wood,50,872,.568,.432,.356,17.6
744,D.J. Wilson,2,15,.833,.333,.000,17.3
225,Daniel Gafford,29,623,.769,.000,.301,16.4
227,Danilo Gallinari,26,385,.581,.489,.427,18.3
52,Darius Bazley,9,152,.680,.267,.400,11.9
585,David Roddy,65,1177,.484,.401,.166,18.1
694,Dean Wade,54,1108,.598,.871,.112,10.5
38,Dominick Barlow,33,420,.548,.080,.372,14.1
200,Dorian Finney-Smith,68,1934,.546,.658,.090,13.2
261,Draymond Green,55,1490,.587,.347,.199,15.3
534,Drew Peterson,3,23,.917,.833,.000,13.3
60,Dāvis Bertāns,43,674,.583,.855,.141,17.4
391,E.J. Liddell,8,23,.291,.833,.333,16.8
472,Evan Mobley,50,1532,.626,.107,.310,20.6
330,GG Jackson II,48,1233,.554,.508,.272,24.2
502,Georges Niang,82,1831,.583,.627,.095,17.6
14,Giannis Antetokounmpo,73,2567,.649,.091,.571,33.0
729,Grant Williams,76,2130,.588,.555,.231,15.9
104,Greg Brown III,6,40,.501,.273,.818,20.3
603,Gui Santos,23,192,.656,.491,.309,15.2
39,Harrison Barnes,82,2381,.611,.526,.268,15.7
301,Haywood Highsmith,66,1366,.587,.584,.109,12.4
683,Hunter Tyson,18,48,.500,.700,.000,20.0
396,Isaiah Livers,23,469,.460,.664,.155,12.7
473,Isaiah Mobley,10,72,.471,.417,.042,16.2
648,Isaiah Stewart,46,1423,.600,.458,.223,14.5
667,JT Thor,63,781,.519,.443,.109,11.7
635,Jabari Smith Jr.,76,2424,.571,.456,.222,17.6
152,Jae Crowder,50,1156,.546,.615,.133,11.5
379,Jake LaRavia,35,806,.540,.515,.360,21.1
732,Jalen Williams,71,2223,.621,.243,.223,23.7
745,Jalen Wilson,43,664,.537,.413,.257,14.3
122,Jamal Cain,26,259,.544,.392,.291,16.7
348,James Johnson,9,47,.368,.200,.200,14.2
701,Jarace Walker,33,340,.527,.500,.082,16.1
686,Jarred Vanderbilt,29,581,.578,.237,.316,11.7
654,Jayson Tatum,74,2645,.604,.427,.349,30.2
264,Jeff Green,78,1307,.590,.437,.407,15.5
257,Jerami Grant,54,1830,.573,.325,.367,25.7
584,Jeremiah Robinson-Earl,39,334,.564,.411,.168,15.4
639,Jeremy Sochan,74,2193,.513,.293,.186,18.8
121,Jimmy Butler,60,2042,.626,.183,.579,24.0
142,John Collins,68,1901,.621,.311,.248,20.4
326,Jonathan Isaac,58,914,.610,.392,.287,16.7
376,Jonathan Kuminga,74,1949,.598,.191,.347,24.1
550,Jontay Porter,26,360,.514,.577,.173,15.8
571,Julius Randle,46,1630,.569,.292,.361,29.9
676,Karl-Anthony Towns,62,2026,.625,.344,.307,27.4
398,Kenneth Lofton Jr.,21,199,.537,.308,.333,22.1
735,Kenrich Williams,69,1029,.568,.504,.050,13.4
186,Kevin Durant,75,2791,.626,.283,.295,29.0
405,Kevin Love,55,924,.597,.680,.301,21.9
107,Kobe Brown,44,394,.490,.533,.022,11.1
13,Kyle Anderson,79,1782,.513,.111,.316,14.5
377,Kyle Kuzma,70,2281,.547,.343,.183,29.7
645,Lamar Stevens,38,559,.516,.192,.225,22.2
420,Lauri Markkanen,55,1820,.631,.493,.311,25.0
337,LeBron James,71,2504,.630,.286,.318,29.2
600,Luka Šamanić,43,404,.485,.405,.354,21.8
167,Mamadi Diakite,6,24,.694,.167,1.000,17.0
480,Marcus Morris,49,817,.558,.451,.167,16.6
483,Markieff Morris,26,216,.467,.618,.088,16.4
321,Matthew Hurt,8,113,.453,.588,.088,14.2
555,Micah Potter,16,186,.609,.525,.200,10.9
270,Mouhamadou Gueye,11,120,.310,.079,.237,19.2
271,Mouhamed Gueye,6,73,.468,.391,.261,15.2
49,Nicolas Batum,60,1529,.603,.723,.082,8.6
363,Nikola Jović,46,896,.583,.580,.167,17.1
139,Noah Clowney,23,370,.626,.355,.323,14.2
674,Obi Toppin,82,1730,.677,.437,.173,16.8
562,Olivier-Maxence Prosper,40,336,.496,.433,.394,16.6
678,Oscar Tshiebwe,8,42,.553,.000,.400,23.5
