,Player,Pos,G,MP,Roster
0,Anthony Mason,PF,80,40.7,2001MIA
1,Eddie Jones,SG,63,36.2,2001MIA
2,Tim Hardaway,PG,77,33.9,2001MIA
3,Brian Grant,C,82,33.8,2001MIA
4,Bruce Bowen,SF,82,32.7,2001MIA
5,Dan Majerle,SG,53,24.6,2001MIA
6,Alonzo Mourning,C,13,23.5,2001MIA
7,Anthony Carter,PG,72,22.6,2001MIA
8,A.C. Green,PF,82,17.2,2001MIA
9,Cedric Ceballos,SF,27,14.6,2001MIA
10,Duane Causwell,C,31,12.4,2001MIA
11,Jamal Robinson,SF,6,12.0,2001MIA
12,Eddie House,PG,50,11.0,2001MIA
13,Ricky Davis,SG,7,10.0,2001MIA
14,Don MacLean,SF,8,9.5,2001MIA
15,Todd Fuller,C,10,7.7,2001MIA
16,Team Totals,,82,242.4,2001MIA
17,Ron Mercer,SG,61,41.6,2001CHI
18,Elton Brand,PF,74,39.3,2001CHI
19,Metta World Peace,SF,76,31.1,2001CHI
20,Fred Hoiberg,SG,74,30.4,2001CHI
21,Bryce Drew,PG,48,27.2,2001CHI
22,Brad Miller,C,57,25.2,2001CHI
23,Marcus Fizer,PF,72,21.9,2001CHI
24,Michael Ruffin,PF,45,19.5,2001CHI
25,A.J. Guyton,PG,33,19.1,2001CHI
26,Khalid El-Amin,PG,50,18.7,2001CHI
27,Jamal Crawford,PG,61,17.2,2001CHI
28,Dragan Tarlać,C,43,13.9,2001CHI
29,Corey Benjamin,PG,65,13.2,2001CHI
30,Steve Goodrich,PF,12,11.1,2001CHI
31,Jake Voskuhl,C,16,8.9,2001CHI
32,Dalibor Bagarić,C,35,7.4,2001CHI
33,Team Totals,,82,242.1,2001CHI
34,Allen Iverson,SG,71,42.0,2001PHI
35,Theo Ratliff,C,50,36.0,2001PHI
36,Eric Snow,PG,50,34.8,2001PHI
37,Dikembe Mutombo,C,26,33.7,2001PHI
38,George Lynch,SF,82,32.3,2001PHI
39,Aaron McKie,SG,76,31.5,2001PHI
40,Tyrone Hill,PF,76,31.1,2001PHI
41,Toni Kukoč,SF,48,20.4,2001PHI
42,Vernon Maxwell,PG,24,15.6,2001PHI
43,Matt Geiger,C,35,15.5,2001PHI
44,Roshown McLeod,SF,1,15.0,2001PHI
45,Kevin Ollie,PG,51,15.0,2001PHI
46,Jumaine Jones,SF,65,13.3,2001PHI
47,Rodney Buford,SF,47,12.2,2001PHI
48,Todd MacCulloch,C,63,9.5,2001PHI
49,Nazr Mohammed,C,30,6.5,2001PHI
50,Raja Bell,SG,5,6.0,2001PHI
51,Pepe Sánchez,PG,24,4.8,2001PHI
52,Anthony Miller,PF,1,2.0,2001PHI
53,Team Totals,,82,242.1,2001PHI
54,Stephon Marbury,PG,67,38.2,2001NJN
55,Keith Van Horn,SF,49,35.4,2001NJN
56,Kenyon Martin,PF,68,33.4,2001NJN
57,Kendall Gill,SG,31,28.8,2001NJN
58,Aaron Williams,PF,82,28.5,2001NJN
59,Lucious Harris,SG,73,28.4,2001NJN
60,Doug Overton,PG,12,26.3,2001NJN
61,Johnny Newman,SG,82,25.0,2001NJN
62,Jamie Feick,C,6,24.8,2001NJN
63,Mark Strickland,SF,9,22.4,2001NJN
64,Stephen Jackson,SF,77,21.6,2001NJN
65,Eddie Gill,PG,8,19.0,2001NJN
66,Sherman Douglas,PG,59,18.5,2001NJN
67,Evan Eschmeyer,C,74,18.0,2001NJN
68,Jamel Thomas,SF,5,11.2,2001NJN
69,Jim McIlvaine,C,18,10.7,2001NJN
70,Vladimir Stepania,C,29,9.7,2001NJN
71,Kevin Ollie,PG,19,8.5,2001NJN
72,Soumaila Samake,C,34,6.6,2001NJN
73,Team Totals,,82,240.6,2001NJN
74,Antawn Jamison,SF,82,41.4,2001GSW
75,Larry Hughes,SG,50,36.9,2001GSW
76,Mookie Blaylock,PG,69,34.1,2001GSW
77,Danny Fortson,PF,6,33.8,2001GSW
78,Chris Mills,SF,15,32.9,2001GSW
79,Bob Sura,SG,53,31.8,2001GSW
80,Marc Jackson,C,48,29.4,2001GSW
81,Adonal Foyle,C,58,25.1,2001GSW
82,Corie Blount,PF,38,24.2,2001GSW
83,Erick Dampier,C,43,24.1,2001GSW
84,Vonteego Cummings,PG,66,22.7,2001GSW
85,Chris Porter,SF,51,22.5,2001GSW
86,Chris Mullin,SF,20,18.7,2001GSW
87,Chris Garner,PG,8,18.6,2001GSW
88,Vinny Del Negro,PG,29,13.7,2001GSW
89,Paul McPherson,PG,22,13.0,2001GSW
90,Adam Keefe,PF,67,12.5,2001GSW
91,Chucky Brown,SF,6,12.3,2001GSW
92,Bill Curley,PF,15,11.8,2001GSW
93,John Coker,C,6,5.3,2001GSW
94,Rubén Garcés,PF,3,3.7,2001GSW
95,Randy Livingston,PG,2,3.5,2001GSW
96,Team Totals,,82,241.2,2001GSW
97,Antoine Walker,PF,81,41.9,2001BOS
98,Paul Pierce,SF,82,38.0,2001BOS
99,Bryant Stith,SG,78,32.1,2001BOS
100,Kenny Anderson,PG,33,25.7,2001BOS
101,Vitaly Potapenko,C,82,23.2,2001BOS
102,Randy Brown,PG,54,22.9,2001BOS
103,Eric Williams,SF,81,21.5,2001BOS
104,Tony Battie,C,40,21.1,2001BOS
105,Doug Overton,PG,7,20.6,2001BOS
106,Rick Brunson,PG,7,20.3,2001BOS
107,Milt Palacio,PG,58,19.7,2001BOS
108,Mark Blount,C,64,17.2,2001BOS
109,Chris Herren,PG,25,16.3,2001BOS
110,Chris Carr,SG,35,8.8,2001BOS
111,Adrian Griffin,SF,44,8.6,2001BOS
112,Walter McCarty,PF,60,8.0,2001BOS
113,Jérôme Moïso,C,24,5.6,2001BOS
114,Team Totals,,82,241.8,2001BOS
115,Jalen Rose,SF,72,40.9,2001IND
116,Reggie Miller,SG,81,39.3,2001IND
117,Jermaine O'Neal,C,81,32.6,2001IND
118,Travis Best,PG,77,31.9,2001IND
119,Al Harrington,PF,78,24.3,2001IND
120,Austin Croshere,PF,81,23.1,2001IND
121,Jeff Foster,C,71,16.2,2001IND
122,Sam Perkins,PF,64,15.6,2001IND
123,Derrick McKey,SF,66,15.0,2001IND
124,Žan Tabak,C,55,14.1,2001IND
125,Tyus Edney,PG,24,11.0,2001IND
126,Bruno Šundov,C,11,10.9,2001IND
127,Jonathan Bender,SF,59,9.7,2001IND
128,Terry Mills,PF,14,8.1,2001IND
129,Lari Ketner,PF,3,2.3,2001IND
130,Team Totals,,82,243.7,2001IND
131,Jason Terry,SG,82,37.7,2001ATL
132,Toni Kukoč,SF,17,36.4,2001ATL
133,Dikembe Mutombo,C,49,35.0,2001ATL
134,Jim Jackson,SF,17,32.4,2001ATL
135,Brevin Knight,PG,47,29.0,2001ATL
136,Lorenzen Wright,C,71,28.0,2001ATL
137,Roshown McLeod,SF,34,26.7,2001ATL
138,Nazr Mohammed,C,28,25.6,2001ATL
139,Matt Maloney,PG,55,25.5,2001ATL
140,Alan Henderson,PF,73,24.8,2001ATL
141,Chris Crawford,PF,47,19.2,2001ATL
142,Larry Robinson,PG,33,19.1,2001ATL
143,DerMarr Johnson,SF,78,16.8,2001ATL
144,Dion Glover,SG,57,16.3,2001ATL
145,Hanno Möttölä,SF,73,13.5,2001ATL
146,Tony Smith,SG,6,13.0,2001ATL
147,Anthony Johnson,PG,25,11.2,2001ATL
148,Cal Bowdler,SF,44,8.5,2001ATL
149,Pepe Sánchez,PG,5,6.8,2001ATL
150,Ira Bowman,PG,3,6.3,2001ATL
151,Sean Colson,PG,3,4.7,2001ATL
152,Anthony Miller,PF,2,3.0,2001ATL
153,Andy Panko,SF,1,1.0,2001ATL
154,Team Totals,,82,240.6,2001ATL
155,Latrell Sprewell,SF,77,39.2,2001NYK
156,Allan Houston,SG,78,36.6,2001NYK
157,Marcus Camby,C,63,33.8,2001NYK
158,Larry Johnson,PF,65,32.4,2001NYK
159,Glen Rice,SF,75,29.5,2001NYK
160,Kurt Thomas,PF,77,27.6,2001NYK
161,Mark Jackson,PG,29,27.1,2001NYK
162,Chris Childs,PG,51,25.7,2001NYK
163,Charlie Ward,PG,61,24.5,2001NYK
164,Othella Harrington,C,30,18.3,2001NYK
165,Erick Strickland,PG,28,15.0,2001NYK
166,Luc Longley,C,25,12.0,2001NYK
167,Lavor Postell,SG,26,6.5,2001NYK
168,Felton Spencer,C,18,6.3,2001NYK
169,Travis Knight,C,45,5.7,2001NYK
170,Rick Brunson,PG,15,4.4,2001NYK
171,Team Totals,,82,242.7,2001NYK
172,Vince Carter,SF,75,39.7,2001TOR
173,Charles Oakley,PF,78,35.5,2001TOR
174,Antonio Davis,C,78,35.0,2001TOR
175,Mark Jackson,PG,54,33.4,2001TOR
176,Alvin Williams,SG,82,29.2,2001TOR
177,Morris Peterson,SG,80,22.6,2001TOR
178,Kevin Willis,C,35,22.0,2001TOR
179,Chris Childs,PG,26,21.2,2001TOR
180,Corliss Williamson,SF,42,21.1,2001TOR
181,Keon Clark,PF,46,21.0,2001TOR
182,Jerome Williams,PF,26,14.5,2001TOR
183,Dell Curry,SG,71,13.5,2001TOR
184,Tracy Murray,SF,38,11.9,2001TOR
185,Muggsy Bogues,PG,3,11.3,2001TOR
186,Kornél Dávid,SF,17,8.2,2001TOR
187,Tyrone Corbin,SF,15,7.8,2001TOR
188,Eric Montross,C,12,6.8,2001TOR
189,Michael Stewart,C,26,4.7,2001TOR
190,Garth Joseph,C,2,4.0,2001TOR
191,Mamadou N'Diaye,C,3,3.3,2001TOR
192,Team Totals,,82,243.4,2001TOR
193,Andre Miller,PG,82,34.7,2001CLE
194,Clarence Weatherspoon,PF,82,33.8,2001CLE
195,Jim Jackson,SF,39,29.2,2001CLE
196,Matt Harpring,SG,56,28.8,2001CLE
197,Lamond Murray,SF,78,28.5,2001CLE
198,Zydrunas Ilgauskas,C,24,25.7,2001CLE
199,Chris Gatling,PF,74,22.6,2001CLE
200,Wesley Person,SG,44,21.8,2001CLE
201,Chris Mihm,C,59,19.8,2001CLE
202,Cedric Henderson,SF,55,17.5,2001CLE
203,Robert Traylor,C,70,17.3,2001CLE
204,Trajan Langdon,SG,65,17.2,2001CLE
205,Bimbo Coles,PG,47,17.1,2001CLE
206,Brevin Knight,PG,6,15.5,2001CLE
207,Chucky Brown,SF,20,13.3,2001CLE
208,Anthony Johnson,PG,28,8.3,2001CLE
209,Michael Hawkins,PG,10,7.6,2001CLE
210,J.R. Reid,PF,6,6.5,2001CLE
211,Etdrick Bohannon,PF,6,3.2,2001CLE
212,Larry Robinson,SG,1,1.0,2001CLE
213,Team Totals,,82,241.8,2001CLE
214,Tracy McGrady,SG,77,40.1,2001ORL
215,Darrell Armstrong,PG,75,36.9,2001ORL
216,Grant Hill,SF,4,33.3,2001ORL
217,Bo Outlaw,PF,80,31.7,2001ORL
218,Mike Miller,SF,82,29.1,2001ORL
219,Dee Brown,PG,7,22.1,2001ORL
220,John Amaechi,C,82,20.9,2001ORL
221,Pat Garrity,SF,76,20.8,2001ORL
222,Michael Doleac,C,77,18.2,2001ORL
223,Monty Williams,SF,82,14.8,2001ORL
224,Andrew DeClercq,C,67,13.5,2001ORL
225,Troy Hudson,PG,75,13.4,2001ORL
226,Don Reid,PF,65,11.8,2001ORL
227,Cory Alexander,PG,26,8.7,2001ORL
228,James Robinson,PG,6,8.3,2001ORL
229,Elliot Perry,PG,6,6.5,2001ORL
230,Team Totals,,82,243.4,2001ORL
231,Jason Kidd,PG,77,39.8,2001PHO
232,Shawn Marion,SF,79,36.2,2001PHO
233,Clifford Robinson,PF,82,33.5,2001PHO
234,Anfernee Hardaway,SG,4,28.0,2001PHO
235,Tony Delk,SG,82,27.9,2001PHO
236,Rodney Rogers,SF,82,26.6,2001PHO
237,Mario Elie,SG,68,22.1,2001PHO
238,Tom Gugliotta,PF,57,20.3,2001PHO
239,Jake Tsakalidis,C,57,16.6,2001PHO
240,Vinny Del Negro,PG,36,14.6,2001PHO
241,Corie Blount,PF,30,12.9,2001PHO
242,Chris Dudley,C,53,11.6,2001PHO
243,Daniel Santiago,C,54,10.8,2001PHO
244,Elliot Perry,PG,43,10.7,2001PHO
245,Paul McPherson,PG,33,9.3,2001PHO
246,Rubén Garcés,PF,10,6.2,2001PHO
247,Team Totals,,82,241.5,2001PHO
248,Nick Van Exel,PG,71,37.9,2001DEN
249,Antonio McDyess,PF,70,36.5,2001DEN
250,Raef LaFrentz,C,78,31.5,2001DEN
251,Voshon Lenard,SG,80,29.1,2001DEN
252,James Posey,SF,82,27.5,2001DEN
253,George McCloud,SF,76,26.4,2001DEN
254,Kevin Willis,C,43,24.6,2001DEN
