,Player,Team,Height,Season
0,A.C. Green,MIA,6-9,2001
1,A.J. Guyton,CHI,6-1,2001
2,Aaron McKie,PHI,6-5,2001
3,Aaron Williams,NJN,6-9,2001
4,Adam Keefe,GSW,6-9,2001
5,Adonal Foyle,GSW,6-10,2001
6,Adrian Griffin,BOS,6-5,2001
7,Al Harrington,IND,6-9,2001
8,Alan Henderson,ATL,6-9,2001
9,Allan Houston,NYK,6-6,2001
10,Allen Iverson,PHI,6-0,2001
11,Alonzo Mourning,MIA,6-10,2001
12,Alvin Williams,TOR,6-5,2001
13,Andre Miller,CLE,6-2,2001
14,Andrew DeClercq,ORL,6-10,2001
15,Andy Panko,ATL,6-9,2001
16,Anfernee Hardaway,PHX,6-7,2001
17,Antawn Jamison,GSW,6-9,2001
18,Anthony Carter,MIA,6-1,2001
19,Anthony Goldwire,DEN,6-2,2001
20,Anthony Johnson,CLE,6-3,2001
21,Anthony Mason,MIA,6-8,2001
22,Anthony Miller,PHI,6-9,2001
23,Anthony Peeler,MIN,6-4,2001
24,Antoine Walker,BOS,6-9,2001
25,Antonio Daniels,SAS,6-4,2001
26,Antonio Davis,TOR,6-9,2001
27,Antonio Harvey,POR,6-11,2001
28,Antonio McDyess,DEN,6-9,2001
29,Art Long,SAC,6-9,2001
30,Arvydas Sabonis,POR,7-3,2001
31,Austin Croshere,IND,6-9,2001
32,Avery Johnson,SAS,5-11,2001
33,Baron Davis,CHH,6-3,2001
34,Ben Wallace,DET,6-9,2001
35,Bill Curley,GSW,,2001
36,Billy Owens,DET,,2001
37,Bimbo Coles,CLE,6-2,2001
38,Bo Outlaw,ORL,6-8,2001
39,Bob Sura,GSW,6-5,2001
40,Bobby Jackson,SAC,6-1,2001
41,Bonzi Wells,POR,6-5,2001
42,Brad Miller,CHI,7-0,2001
43,Brent Barry,SEA,6-6,2001
44,Brent Price,VAN,6-1,2001
45,Brevin Knight,ATL,5-10,2001
46,Brian Cardinal,DET,6-8,2001
47,Brian Grant,MIA,6-9,2001
48,Brian Shaw,LAL,6-6,2001
49,Brian Skinner,LAC,6-9,2001
50,Bruce Bowen,MIA,6-7,2001
51,Bruno Sundov,IND,7-2,2001
52,Bryant Reeves,VAN,7-0,2001
53,Bryant Stith,BOS,6-5,2001
54,Bryce Drew,CHI,6-3,2001
55,Bryon Russell,UTA,6-7,2001
56,Cal Bowdler,ATL,6-10,2001
57,Calbert Cheaney,DEN,6-7,2001
58,Calvin Booth,DAL,6-11,2001
59,Carlos Rogers,HOU,6-11,2001
60,Cedric Ceballos,MIA,6-7,2001
61,Cedric Henderson,CLE,6-7,2001
62,Charles Oakley,TOR,6-9,2001
63,Charlie Ward,NYK,6-2,2001
64,Chauncey Billups,MIN,6-3,2001
65,Cherokee Parks,LAC,6-11,2001
66,Chris Carr,BOS,6-6,2001
67,Chris Childs,TOR,6-3,2001
68,Chris Crawford,ATL,6-9,2001
69,Chris Dudley,PHX,6-11,2001
70,Chris Garner,GSW,5-10,2001
71,Chris Gatling,CLE,6-10,2001
72,Chris Herren,BOS,6-2,2001
73,Chris Mihm,CLE,7-1,2001
74,Chris Mills,GSW,6-7,2001
75,Chris Mullin,GSW,,2001
76,Chris Porter,GSW,6-7,2001
77,Chris Webber,SAC,6-10,2001
78,Chris Whitney,WAS,6-0,2001
79,Christian Laettner,WAS,6-11,2001
80,Chucky Atkins,DET,5-11,2001
81,Chucky Brown,CLE,6-8,2001
82,Clar. Weatherspoon,CLE,6-7,2001
83,Clifford Robinson,PHX,6-10,2001
84,Corey Benjamin,CHI,6-6,2001
85,Corey Maggette,LAC,6-6,2001
86,Corie Blount,GSW,6-10,2001
87,Corliss Williamson,DET,6-7,2001
88,Cory Alexander,ORL,6-1,2001
89,Courtney Alexander,WAS,6-5,2001
90,Cuttino Mobley,HOU,6-4,2001
91,Dale Davis,POR,6-11,2001
92,Dalibor Bagaric,CHI,7-1,2001
93,Damon Jones,VAN,6-3,2001
94,Damon Stoudamire,POR,5-10,2001
95,Dan Langhi,HOU,6-11,2001
96,Dan Majerle,MIA,6-6,2001
97,Dan McClintock,DEN,7-0,2001
98,Dana Barros,DET,5-11,2001
99,Daniel Santiago,PHX,7-1,2001
100,Danny Ferry,SAS,6-10,2001
101,Danny Fortson,GSW,6-8,2001
102,Danny Manning,UTA,6-10,2001
103,Darius Miles,LAC,6-9,2001
104,Darrell Armstrong,ORL,6-1,2001
105,Darrick Martin,SAC,5-11,2001
106,Darvin Ham,MIL,6-7,2001
107,David Benoit,UTA,6-8,2001
108,David Robinson,SAS,7-1,2001
109,David Vanterpool,WAS,6-5,2001
110,David Wesley,CHH,6-1,2001
111,David Wingate,SEA,6-5,2001
112,DeShawn Stevenson,UTA,6-5,2001
