Season,Player,G,MP,USG%,FGA,Personal Fouls Committed,BLK,STL,DRB,ORB,TOV,AST,% of FG Ast'd - 3P,% of FG Ast'd - 2P,FTr,Shooting Fouls Drawn,Corner 3s - %3PA,% of FGA by Distance - 3P,% of FGA by Distance - 16-3P,% of FGA by Distance - 10-16,% of FGA by Distance - 3-10,% of FGA by Distance - 0-3,Dunks - %FGA
2001,A.C. Green,82.0,1411.0,14.4,31.125486144352283,11.672057304132109,0.7781371536088073,3.1125486144352292,19.45342884022018,10.115782996914495,3.8906857680440354,3.8906857680440354,0.0,0.764,0.343,,0.167,0.019,0.438,0.164,0.102,0.278,0.012
2001,Aaron Williams,82.0,2336.0,17.8,22.42805404391068,11.072077312816662,3.9745918558829043,1.9872959279414522,13.059373240758116,7.38138487521111,4.542390692437607,3.122893601050854,0.0,0.623,0.477,,0.0,0.003,0.103,0.131,0.262,0.502,0.129
2001,Adam Keefe,67.0,836.0,11.5,35.51654952954374,22.19784345596484,4.439568691192967,5.919424921590623,26.63741214715781,19.23813099516953,8.879137382385935,7.399281151988279,1.0,0.683,0.396,,0.333,0.019,0.258,0.17,0.176,0.377,0.038
2001,Al Harrington,78.0,1892.0,18.8,27.411162611909944,11.356053082076977,0.7831760746259984,3.1327042985039935,13.313993268641973,5.873820559694988,7.440172708946983,6.656996634320986,0.0,0.675,0.289,,0.143,0.013,0.21,0.193,0.25,0.333,0.068
2001,Alan Henderson,73.0,1810.0,22.6,34.479334330453895,8.245058209456367,1.4991014926284303,2.6234276120997526,11.618036567870334,9.36938432892769,6.371181343670829,2.6234276120997526,0.0,0.537,0.404,,0.0,0.001,0.051,0.21,0.304,0.434,0.046
2001,Anthony Mason,80.0,3254.0,20.0,16.57197665848548,4.038548933580495,0.4177809241634994,1.3926030805449983,10.444523104087486,2.9244664691444964,3.0637267771989958,4.317069549689494,0.0,0.483,0.497,,0.0,0.0,0.083,0.269,0.321,0.327,0.01
2001,Anthony Miller,4.0,11.0,12.2,152.33057851239667,91.39834710743801,0.0,0.0,152.33057851239667,0.0,91.39834710743801,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2001,Antoine Walker,81.0,3396.0,29.1,27.78772615465295,4.06329957921812,0.7864450798486684,2.2282610595712273,9.175192598234464,2.490409419520783,4.84974465906679,7.209079898612794,0.932,0.353,0.202,,0.09,0.351,0.082,0.063,0.191,0.313,0.011
2001,Antonio Harvey,12.0,72.0,21.7,147.2,51.2,32.0,6.4,51.2,25.6,19.2,19.2,0.0,0.692,0.214,,0.0,0.0,0.321,0.179,0.179,0.321,0.107
2001,Antonio McDyess,70.0,2555.0,26.5,28.708125351848377,5.361155939200601,2.5941077125164194,1.0376430850065677,14.872884218427473,5.879977481703883,3.9776318258585093,3.6317507975229875,0.0,0.778,0.373,,0.0,0.0,0.234,0.282,0.142,0.342,0.11
2001,Art Long,9.0,20.0,15.2,186.624,279.9359999999999,139.96799999999996,0.0,326.5919999999999,93.312,93.312,46.656,0.0,0.0,0.5,,0.0,0.0,0.25,0.0,0.5,0.25,0.25
2001,Austin Croshere,81.0,1874.0,23.4,37.44834179794503,9.469695627066558,2.582644261927243,1.721762841284829,14.204543440599835,6.456610654818107,7.317492075460523,4.734847813533279,0.943,0.529,0.33,,0.353,0.295,0.154,0.11,0.171,0.27,0.046
