Rank-Statistic,Overall
2001-SAS,58-24
2001-LAL,56-26
2001-PHI,56-26
2001-SAC,55-27
2001-DAL,53-29
2001-UTA,53-29
2001-MIL,52-30
2001-PHO,51-31
2001-MIA,50-32
2001-POR,50-32
2001-NYK,48-34
2001-MIN,47-35
2001-TOR,47-35
2001-CHH,46-36
2001-HOU,45-37
2001-SEA,44-38
2001-ORL,43-39
2001-IND,41-41
2001-DEN,40-42
2001-BOS,36-46
2001-DET,32-50
2001-LAC,31-51
2001-CLE,30-52
2001-NJN,26-56
2001-ATL,25-57
2001-VAN,23-59
2001-WAS,19-63
2001-GSW,17-65
2001-CHI,15-67
2002-SAC,61-21
2002-LAL,58-24
2002-SAS,58-24
2002-DAL,57-25
2002-NJN,52-30
2002-DET,50-32
2002-MIN,50-32
2002-BOS,49-33
2002-POR,49-33
2002-SEA,45-37
2002-CHH,44-38
2002-ORL,44-38
2002-UTA,44-38
2002-PHI,43-39
2002-IND,42-40
2002-TOR,42-40
2002-MIL,41-41
2002-LAC,39-43
2002-WAS,37-45
2002-MIA,36-46
2002-PHO,36-46
2002-ATL,33-49
2002-NYK,30-52
2002-CLE,29-53
2002-HOU,28-54
2002-DEN,27-55
2002-MEM,23-59
2002-CHI,21-61
2002-GSW,21-61
2003-DAL,60-22
2003-SAS,60-22
2003-SAC,59-23
2003-MIN,51-31
2003-DET,50-32
2003-LAL,50-32
2003-POR,50-32
2003-NJN,49-33
2003-IND,48-34
2003-PHI,48-34
2003-NOH,47-35
2003-UTA,47-35
2003-BOS,44-38
2003-PHO,44-38
2003-HOU,43-39
2003-MIL,42-40
2003-ORL,42-40
2003-SEA,40-42
2003-GSW,38-44
2003-NYK,37-45
2003-WAS,37-45
2003-ATL,35-47
2003-CHI,30-52
2003-MEM,28-54
2003-LAC,27-55
2003-MIA,25-57
2003-TOR,24-58
2003-CLE,17-65
2003-DEN,17-65
2004-IND,61-21
2004-MIN,58-24
2004-SAS,57-25
2004-LAL,56-26
2004-SAC,55-27
2004-DET,54-28
2004-DAL,52-30
2004-MEM,50-32
2004-NJN,47-35
2004-HOU,45-37
2004-DEN,43-39
2004-MIA,42-40
2004-UTA,42-40
2004-MIL,41-41
2004-NOH,41-41
2004-POR,41-41
2004-NYK,39-43
2004-GSW,37-45
2004-SEA,37-45
2004-BOS,36-46
2004-CLE,35-47
2004-PHI,33-49
2004-TOR,33-49
2004-PHO,29-53
2004-ATL,28-54
2004-LAC,28-54
2004-WAS,25-57
2004-CHI,23-59
2004-ORL,21-61
2005-PHO,62-20
2005-MIA,59-23
2005-SAS,59-23
2005-DAL,58-24
2005-DET,54-28
2005-SEA,52-30
2005-HOU,51-31
2005-SAC,50-32
2005-DEN,49-33
2005-CHI,47-35
2005-BOS,45-37
2005-MEM,45-37
2005-WAS,45-37
2005-IND,44-38
2005-MIN,44-38
2005-PHI,43-39
2005-NJN,42-40
2005-CLE,42-40
2005-LAC,37-45
2005-ORL,36-46
,
,Overall
2005-GSW,34-48
2005-LAL,34-48
2005-NYK,33-49
2005-TOR,33-49
2005-MIL,30-52
2005-POR,27-55
2005-UTA,26-56
2005-CHO,18-64
2005-NOH,18-64
2005-ATL,13-69
2006-DET,64-18
2006-SAS,63-19
2006-DAL,60-22
2006-PHO,54-28
2006-MIA,52-30
2006-CLE,50-32
2006-MEM,49-33
2006-NJN,49-33
2006-LAC,47-35
2006-LAL,45-37
2006-DEN,44-38
2006-SAC,44-38
2006-WAS,42-40
2006-CHI,41-41
2006-IND,41-41
2006-UTA,41-41
2006-MIL,40-42
2006-NOK,38-44
2006-PHI,38-44
2006-ORL,36-46
,
,Overall
2006-SEA,35-47
2006-GSW,34-48
2006-HOU,34-48
2006-BOS,33-49
2006-MIN,33-49
2006-TOR,27-55
2006-ATL,26-56
2006-CHO,26-56
2006-NYK,23-59
2006-POR,21-61
2007-DAL,67-15
2007-PHO,61-21
2007-SAS,58-24
2007-DET,53-29
2007-HOU,52-30
2007-UTA,51-31
2007-CLE,50-32
2007-CHI,49-33
2007-TOR,47-35
2007-DEN,45-37
2007-MIA,44-38
2007-GSW,42-40
2007-LAL,42-40
2007-NJN,41-41
2007-WAS,41-41
2007-ORL,40-42
2007-LAC,40-42
2007-NOK,39-43
2007-IND,35-47
2007-PHI,35-47
,
,Overall
2007-CHO,33-49
2007-NYK,33-49
2007-SAC,33-49
2007-MIN,32-50
2007-POR,32-50
2007-SEA,31-51
2007-ATL,30-52
2007-MIL,28-54
2007-BOS,24-58
2007-MEM,22-60
2008-BOS,66-16
2008-DET,59-23
2008-LAL,57-25
2008-NOH,56-26
2008-SAS,56-26
2008-HOU,55-27
2008-PHO,55-27
2008-UTA,54-28
2008-ORL,52-30
2008-DAL,51-31
2008-DEN,50-32
2008-GSW,48-34
2008-CLE,45-37
2008-WAS,43-39
2008-TOR,41-41
2008-POR,41-41
2008-PHI,40-42
2008-SAC,38-44
2008-ATL,37-45
2008-IND,36-46
,
,Overall
2008-NJN,34-48
2008-CHI,33-49
2008-CHO,32-50
2008-MIL,26-56
2008-LAC,23-59
2008-NYK,23-59
2008-MEM,22-60
2008-MIN,22-60
2008-SEA,20-62
2008-MIA,15-67
2009-CLE,66-16
2009-LAL,65-17
2009-BOS,62-20
2009-ORL,59-23
2009-DEN,54-28
2009-POR,54-28
2009-SAS,54-28
2009-HOU,53-29
2009-DAL,50-32
2009-NOH,49-33
2009-UTA,48-34
2009-ATL,47-35
2009-PHO,46-36
2009-MIA,43-39
2009-CHI,41-41
2009-PHI,41-41
2009-DET,39-43
2009-IND,36-46
2009-CHO,35-47
2009-MIL,34-48
,
,Overall
2009-NJN,34-48
2009-TOR,33-49
2009-NYK,32-50
2009-GSW,29-53
2009-MEM,24-58
2009-MIN,24-58
2009-OKC,23-59
2009-LAC,19-63
2009-WAS,19-63
2009-SAC,17-65
2010-CLE,61-21
2010-ORL,59-23
2010-LAL,57-25
2010-DAL,55-27
2010-PHO,54-28
2010-ATL,53-29
2010-DEN,53-29
2010-UTA,53-29
2010-BOS,50-32
2010-OKC,50-32
2010-POR,50-32
2010-SAS,50-32
2010-MIA,47-35
2010-MIL,46-36
2010-CHO,44-38
2010-HOU,42-40
2010-CHI,41-41
2010-MEM,40-42
2010-TOR,40-42
2010-NOH,37-45
,
,Overall
2010-IND,32-50
2010-LAC,29-53
2010-NYK,29-53
2010-DET,27-55
2010-PHI,27-55
2010-GSW,26-56
2010-WAS,26-56
2010-SAC,25-57
2010-MIN,15-67
2010-NJN,12-70
2011-CHI,62-20
2011-SAS,61-21
2011-MIA,58-24
2011-DAL,57-25
2011-LAL,57-25
2011-BOS,56-26
2011-OKC,55-27
2011-ORL,52-30
2011-DEN,50-32
2011-POR,48-34
2011-MEM,46-36
2011-NOH,46-36
2011-ATL,44-38
2011-HOU,43-39
2011-NYK,42-40
2011-PHI,41-41
2011-PHO,40-42
2011-UTA,39-43
2011-IND,37-45
2011-GSW,36-46
,
,Overall
2011-MIL,35-47
2011-CHO,34-48
2011-LAC,32-50
2011-DET,30-52
2011-NJN,24-58
2011-SAC,24-58
2011-WAS,23-59
2011-TOR,22-60
2011-CLE,19-63
2011-MIN,17-65
2012-CHI,50-16
2012-SAS,50-16
2012-OKC,47-19
2012-MIA,46-20
2012-IND,42-24
2012-LAL,41-25
2012-MEM,41-25
2012-ATL,40-26
2012-LAC,40-26
2012-BOS,39-27
2012-DEN,38-28
2012-ORL,37-29
2012-DAL,36-30
2012-NYK,36-30
2012-UTA,36-30
2012-PHI,35-31
2012-HOU,34-32
2012-PHO,33-33
2012-MIL,31-35
2012-POR,28-38
,
,Overall
2012-MIN,26-40
2012-DET,25-41
2012-GSW,23-43
2012-TOR,23-43
2012-NJN,22-44
2012-SAC,22-44
2012-CLE,21-45
2012-NOH,21-45
2012-WAS,20-46
2012-CHO,7-59
2013-MIA,66-16
2013-OKC,60-22
2013-SAS,58-24
2013-DEN,57-25
2013-LAC,56-26
2013-MEM,56-26
2013-NYK,54-28
2013-BRK,49-33
2013-IND,49-32
2013-GSW,47-35
2013-CHI,45-37
2013-HOU,45-37
2013-LAL,45-37
2013-ATL,44-38
2013-UTA,43-39
2013-BOS,41-40
2013-DAL,41-41
2013-MIL,38-44
2013-PHI,34-48
2013-TOR,34-48
,
,Overall
2013-POR,33-49
2013-MIN,31-51
2013-DET,29-53
2013-WAS,29-53
2013-SAC,28-54
2013-NOH,27-55
2013-PHO,25-57
2013-CLE,24-58
2013-CHO,21-61
2013-ORL,20-62
2014-SAS,62-20
2014-OKC,59-23
2014-LAC,57-25
2014-IND,56-26
2014-HOU,54-28
2014-MIA,54-28
2014-POR,54-28
2014-GSW,51-31
2014-MEM,50-32
2014-DAL,49-33
2014-CHI,48-34
2014-TOR,48-34
2014-PHO,48-34
2014-BRK,44-38
2014-WAS,44-38
2014-CHO,43-39
2014-MIN,40-42
2014-ATL,38-44
2014-NYK,37-45
2014-DEN,36-46
,
,Overall
2014-NOP,34-48
2014-CLE,33-49
2014-DET,29-53
2014-SAC,28-54
2014-LAL,27-55
2014-BOS,25-57
2014-UTA,25-57
2014-ORL,23-59
2014-PHI,19-63
2014-MIL,15-67
2015-GSW,67-15
2015-ATL,60-22
2015-HOU,56-26
2015-LAC,56-26
2015-MEM,55-27
2015-SAS,55-27
2015-CLE,53-29
2015-POR,51-31
2015-CHI,50-32
2015-DAL,50-32
2015-TOR,49-33
2015-WAS,46-36
2015-NOP,45-37
2015-OKC,45-37
2015-MIL,41-41
2015-BOS,40-42
2015-PHO,39-43
2015-BRK,38-44
2015-IND,38-44
2015-UTA,38-44
,
,Overall
2015-MIA,37-45
2015-CHA,33-49
2015-DET,32-50
2015-DEN,30-52
2015-SAC,29-53
2015-ORL,25-57
2015-LAL,21-61
2015-PHI,18-64
2015-NYK,17-65
2015-MIN,16-66
2016-GSW,73-9
2016-SAS,67-15
2016-CLE,57-25
2016-TOR,56-26
2016-OKC,55-27
2016-LAC,53-29
2016-ATL,48-34
2016-BOS,48-34
2016-CHA,48-34
2016-MIA,48-34
2016-IND,45-37
2016-DET,44-38
2016-POR,44-38
2016-DAL,42-40
2016-MEM,42-40
2016-CHI,42-40
2016-HOU,41-41
2016-WAS,41-41
2016-UTA,40-42
2016-ORL,35-47
,
,Overall
2016-DEN,33-49
2016-MIL,33-49
2016-SAC,33-49
2016-NYK,32-50
2016-NOP,30-52
2016-MIN,29-53
2016-PHO,23-59
2016-BRK,21-61
2016-LAL,17-65
2016-PHI,10-72
2017-GSW,67-15
2017-SAS,61-21
2017-HOU,55-27
2017-BOS,53-29
2017-CLE,51-31
2017-LAC,51-31
