,Player,Team,Season
0,Anthony Mason,MIA,2001
1,Brian Grant,MIA,2001
2,Tim Hardaway,MIA,2001
3,Bruce Bowen,MIA,2001
4,Eddie Jones,MIA,2001
5,Anthony Carter,MIA,2001
6,Dan Majerle,MIA,2001
7,A.C. Green,MIA,2001
8,Alonzo Mourning,MIA,2001
9,Elton Brand,CHI,2001
10,Ron Mercer,CHI,2001
11,Metta World Peace,CHI,2001
12,Fred Hoiberg,CHI,2001
13,Marcus Fizer,CHI,2001
14,Bryce Drew,CHI,2001
15,Brad Miller,CHI,2001
16,Jamal Crawford,CHI,2001
17,Khalid El-Amin,CHI,2001
18,Allen Iverson,PHI,2001
19,George Lynch,PHI,2001
20,Aaron McKie,PHI,2001
21,Tyrone Hill,PHI,2001
22,Theo Ratliff,PHI,2001
23,Eric Snow,PHI,2001
24,Dikembe Mutombo,PHI,2001
25,Toni Kukoč,PHI,2001
26,Jumaine Jones,PHI,2001
27,Stephon Marbury,NJN,2001
28,Kenyon Martin,NJN,2001
29,Aaron Williams,NJN,2001
30,Keith Van Horn,NJN,2001
31,Lucious Harris,NJN,2001
32,Johnny Newman,NJN,2001
33,Stephen Jackson,NJN,2001
34,Kendall Gill,NJN,2001
35,Evan Eschmeyer,NJN,2001
36,Antawn Jamison,GSW,2001
37,Mookie Blaylock,GSW,2001
38,Larry Hughes,GSW,2001
39,Bob Sura,GSW,2001
40,Marc Jackson,GSW,2001
41,Adonal Foyle,GSW,2001
42,Vonteego Cummings,GSW,2001
43,Chris Mills,GSW,2001
44,Danny Fortson,GSW,2001
45,Antoine Walker,BOS,2001
46,Paul Pierce,BOS,2001
47,Bryant Stith,BOS,2001
48,Vitaly Potapenko,BOS,2001
49,Eric Williams,BOS,2001
50,Randy Brown,BOS,2001
51,Kenny Anderson,BOS,2001
52,Milt Palacio,BOS,2001
53,Mark Blount,BOS,2001
54,Reggie Miller,IND,2001
55,Jalen Rose,IND,2001
56,Jermaine O'Neal,IND,2001
57,Travis Best,IND,2001
58,Al Harrington,IND,2001
59,Austin Croshere,IND,2001
60,Jeff Foster,IND,2001
61,Sam Perkins,IND,2001
62,Derrick McKey,IND,2001
63,Jason Terry,ATL,2001
64,Dikembe Mutombo,ATL,2001
65,Lorenzen Wright,ATL,2001
66,Alan Henderson,ATL,2001
67,Toni Kukoč,ATL,2001
68,Brevin Knight,ATL,2001
69,Matt Maloney,ATL,2001
70,Jim Jackson,ATL,2001
71,Roshown McLeod,ATL,2001
72,Latrell Sprewell,NYK,2001
73,Allan Houston,NYK,2001
74,Marcus Camby,NYK,2001
75,Larry Johnson,NYK,2001
76,Glen Rice,NYK,2001
77,Kurt Thomas,NYK,2001
78,Charlie Ward,NYK,2001
79,Chris Childs,NYK,2001
80,Mark Jackson,NYK,2001
81,Vince Carter,TOR,2001
82,Charles Oakley,TOR,2001
83,Antonio Davis,TOR,2001
84,Alvin Williams,TOR,2001
85,Mark Jackson,TOR,2001
86,Morris Peterson,TOR,2001
87,Keon Clark,TOR,2001
88,Corliss Williamson,TOR,2001
89,Kevin Willis,TOR,2001
90,Andre Miller,CLE,2001
91,Clarence Weatherspoon,CLE,2001
92,Lamond Murray,CLE,2001
93,Matt Harpring,CLE,2001
94,Chris Gatling,CLE,2001
95,Jim Jackson,CLE,2001
96,Chris Mihm,CLE,2001
97,Robert Traylor,CLE,2001
98,Trajan Langdon,CLE,2001
99,Tracy McGrady,ORL,2001
100,Darrell Armstrong,ORL,2001
101,Bo Outlaw,ORL,2001
102,Mike Miller,ORL,2001
103,John Amaechi,ORL,2001
104,Pat Garrity,ORL,2001
105,Michael Doleac,ORL,2001
106,Grant Hill,ORL,2001
107,Monty Williams,ORL,2001
108,Jason Kidd,PHO,2001
109,Shawn Marion,PHO,2001
110,Clifford Robinson,PHO,2001
111,Tony Delk,PHO,2001
112,Rodney Rogers,PHO,2001
113,Mario Elie,PHO,2001
114,Tom Gugliotta,PHO,2001
115,Jake Tsakalidis,PHO,2001
116,Anfernee Hardaway,PHO,2001
117,Nick Van Exel,DEN,2001
118,Antonio McDyess,DEN,2001
119,Raef LaFrentz,DEN,2001
120,Voshon Lenard,DEN,2001
121,James Posey,DEN,2001
122,George McCloud,DEN,2001
123,Kevin Willis,DEN,2001
124,Robert Pack,DEN,2001
125,Keon Clark,DEN,2001
126,Steve Francis,HOU,2001
127,Cuttino Mobley,HOU,2001
128,Shandon Anderson,HOU,2001
129,Maurice Taylor,HOU,2001
130,Kenny Thomas,HOU,2001
131,Hakeem Olajuwon,HOU,2001
132,Moochie Norris,HOU,2001
133,Walt Williams,HOU,2001
134,Matt Bullard,HOU,2001
135,Kevin Garnett,MIN,2001
136,Terrell Brandon,MIN,2001
137,Wally Szczerbiak,MIN,2001
138,Anthony Peeler,MIN,2001
139,LaPhonso Ellis,MIN,2001
140,Chauncey Billups,MIN,2001
141,Rasho Nesterović,MIN,2001
142,Sam Mitchell,MIN,2001
143,Dean Garrett,MIN,2001
144,Tim Duncan,SAS,2001
145,Derek Anderson,SAS,2001
146,David Robinson,SAS,2001
147,Antonio Daniels,SAS,2001
148,Danny Ferry,SAS,2001
149,Terry Porter,SAS,2001
150,Avery Johnson,SAS,2001
151,Sean Elliott,SAS,2001
152,Malik Rose,SAS,2001
153,Rasheed Wallace,POR,2001
154,Damon Stoudamire,POR,2001
155,Steve Smith,POR,2001
156,Scottie Pippen,POR,2001
157,Dale Davis,POR,2001
158,Bonzi Wells,POR,2001
159,Arvydas Sabonis,POR,2001
160,Stacey Augmon,POR,2001
161,Shawn Kemp,POR,2001
162,Chris Webber,SAC,2001
163,Peja Stojaković,SAC,2001
164,Doug Christie,SAC,2001
165,Vlade Divac,SAC,2001
166,Jason Williams,SAC,2001
