,Player,G,MP,FTr,USG%
481,A.J. Price,50,795,.253,22.7
94,Aaron Brooks,59,1284,.239,25.9
258,Aaron Gray,41,531,.343,13.1
369,Acie Law,51,726,.344,15.7
275,Al Harrington,73,1665,.173,22.3
302,Al Horford,77,2704,.204,19.7
327,Al Jefferson,82,2940,.219,24.2
566,Al Thornton,71,1383,.329,17.8
12,Al-Farouq Aminu,81,1452,.293,17.3
3,Alexis Ajinça,34,340,.135,21.1
240,Alonzo Gee,56,1118,.348,14.5
545,Amar'e Stoudemire,78,2870,.403,30.9
335,Amir Johnson,72,1853,.323,15.3
583,Anderson Varejão,31,994,.375,13.3
76,Andray Blatche,64,2172,.296,25.5
310,Andre Iguodala,67,2469,.395,19.2
411,Andre Miller,81,2650,.346,20.6
45,Andrea Bargnani,66,2353,.298,28.2
357,Andrei Kirilenko,64,1999,.498,17.8
79,Andrew Bogut,65,2297,.292,19.6
108,Andrew Bynum,54,1500,.506,17.6
70,Andris Biedriņš,59,1397,.117,10.6
439,Andrés Nocioni,54,931,.220,17.4
495,Andy Rautins,5,24,.286,27.5
323,Antawn Jamison,56,1842,.267,26.0
122,Anthony Carter,33,463,.075,14.3
425,Anthony Morrow,58,1856,.173,18.0
456,Anthony Parker,72,2091,.172,14.6
490,Anthony Randolph,40,590,.326,25.8
573,Anthony Tolliver,65,1362,.419,13.1
638,Antoine Wright,7,31,.000,12.6
161,Antonio Daniels,4,35,.400,9.1
402,Antonio McDyess,73,1387,.224,14.9
336,Armon Johnson,38,277,.218,25.1
1,Arron Afflalo,69,2324,.260,14.8
168,Austin Daye,72,1446,.229,18.6
86,Avery Bradley,31,162,.179,26.1
163,Baron Davis,58,1649,.189,24.4
250,Ben Gordon,82,2131,.208,21.5
582,Ben Uzoh,42,438,.389,20.5
593,Ben Wallace,54,1238,.383,8.2
581,Beno Udrih,79,2734,.277,16.9
267,Blake Griffin,82,3112,.505,27.3
522,Bobby Simmons,2,16,.000,8.6
172,Boris Diaw,82,2778,.159,16.8
412,Brad Miller,60,1015,.318,17.0
639,Brandan Wright,37,379,.265,17.2
51,Brandon Bass,76,1980,.361,19.8
332,Brandon Jennings,63,2169,.266,25.5
509,Brandon Roy,47,1310,.264,22.8
510,Brandon Rush,67,1754,.206,15.9
286,Brendan Haywood,72,1331,.794,12.4
113,Brian Cardinal,56,618,.180,9.5
