,Player,Fouls Drawn - Shoot
438,A.J. Price,25
74,Aaron Brooks,18
201,Aaron Gray,20
219,Al Harrington,2
249,Al Horford,93
268,Al Jefferson,98
11,Al-Farouq Aminu,63
17,Alan Anderson,52
83,Alec Burks,53
480,Alexey Shved,65
189,Alonzo Gee,94
505,Amar'e Stoudemire,57
278,Amir Johnson,89
547,Anderson Varejão,43
60,Andray Blatche,113
148,Andre Drummond,64
256,Andre Iguodala,114
373,Andre Miller,81
36,Andrea Bargnani,35
306,Andrei Kirilenko,113
63,Andrew Bogut,12
199,Andrew Goudelock,0
400,Andrew Nicholson,49
55,Andris Biedriņš,3
267,Antawn Jamison,62
126,Anthony Davis,112
388,Anthony Morrow,7
447,Anthony Randolph,21
533,Anthony Tolliver,22
392,Arnett Moultrie,14
47,Aron Baynes,7
2,Arron Afflalo,98
132,Austin Daye,15
456,Austin Rivers,49
68,Avery Bradley,19
196,Ben Gordon,53
214,Ben Hansbrough,7
543,Beno Udrih,38
263,Bernard James,20
57,Bismack Biyombo,58
208,Blake Griffin,184
140,Boris Diaw,23
49,Bradley Beal,59
587,Brandan Wright,52
43,Brandon Bass,78
276,Brandon Jennings,110
308,Brandon Knight,86
465,Brandon Roy,3
467,Brandon Rush,1
233,Brendan Haywood,28
457,Brian Roberts,32
334,Brook Lopez,193
394,Byron Mullens,37
371,C.J. Miles,44
566,C.J. Watson,37
316,Carl Landry,144
66,Carlos Boozer,134
136,Carlos Delfino,24
22,Carmelo Anthony,211
84,Caron Butler,37
348,Cartier Martin,13
421,Chandler Parsons,76
271,Charles Jenkins,7
553,Charlie Villanueva,22
82,Chase Budinger,16
56,Chauncey Billups,17
16,Chris Andersen,40
67,Chris Bosh,140
113,Chris Copeland,41
146,Chris Douglas-Roberts,4
150,Chris Duhon,4
279,Chris Johnson,12
303,Chris Kaman,45
425,Chris Paul,64
445,Chris Quinn,1
484,Chris Singleton,32
576,Chris Wilcox,25
588,Chris Wright,0
229,Chuck Hayes,20
4,Cole Aldrich,8
70,Corey Brewer,102
344,Corey Maggette,21
239,Cory Higgins,0
299,Cory Joseph,9
318,Courtney Lee,29
28,D.J. Augustin,24
574,D.J. White,5
508,DaJuan Summers,0
110,Daequan Cook,4
287,Dahntay Jones,50
329,Damian Lillard,131
577,Damien Wilkins,54
264,Damion James,0
192,Daniel Gibson,17
410,Daniel Orton,9
177,Danilo Gallinari,140
200,Danny Granger,3
202,Danny Green,33
120,Dante Cunningham,45
286,Darius Johnson-Odom,0
374,Darius Miller,5
383,Darius Morris,18
372,Darko Miličić,0
25,Darrell Arthur,25
106,Darren Collison,98
319,David Lee,159
572,David West,130
297,DeAndre Jordan,111
328,DeAndre Liggins,6
58,DeJuan Blair,36
139,DeMar DeRozan,195
114,DeMarcus Cousins,188
91,DeMarre Carroll,37
290,DeQuan Jones,27
141,DeSagana Diop,1
502,DeShawn Stevenson,7
169,Derek Fisher,18
578,Deron Williams,120
166,Derrick Favors,134
579,Derrick Williams,138
155,Devin Ebanks,4
220,Devin Harris,72
433,Dexter Pittman,2
183,Diante Garrett,3
556,Dion Waiters,97
403,Dirk Nowitzki,62
361,Dominic McGuire,5
291,Dominique Jones,22
485,Donald Sloan,14
391,Donatas Motiejūnas,23
589,Dorell Wright,58
312,Doron Lamb,14
203,Draymond Green,25
195,Drew Gooden,8
250,Dwight Howard,276
555,Dwyane Wade,204
382,E'Twaun Moore,28
39,Earl Barron,4
99,Earl Clark,37
567,Earl Watson,6
128,Ed Davis,86
122,Eddy Curry,1
542,Ekpe Udoh,54
69,Elton Brand,46
409,Emeka Okafor,94
175,Enes Freedom,56
61,Eric Bledsoe,58
197,Eric Gordon,105
355,Eric Maynor,20
257,Ersan İlyasova,70
172,Evan Fournier,20
538,Evan Turner,82
369,Fab Melo,2
164,Festus Ezeli,34
178,Francisco García,7
518,Garrett Temple,21
398,Gary Neal,28
241,George Hill,66
205,Gerald Green,25
234,Gerald Henderson,148
559,Gerald Wallace,82
131,Glen Davis,65
147,Goran Dragić,112
230,Gordon Hayward,109
242,Grant Hill,9
381,Greg Monroe,190
488,Greg Smith,69
503,Greg Stiemsma,26
551,Greivis Vásquez,68
29,Gustavo Ayón,17
563,Hakim Warrick,40
209,Hamed Haddadi,11
37,Harrison Barnes,86
520,Hasheem Thabeet,25
537,Hedo Türkoğlu,2
481,Henry Sims,0
345,Ian Mahinmi,84
479,Iman Shumpert,21
521,Isaiah Thomas,102
489,Ish Smith,3
281,Ivan Johnson,66
35,J.J. Barea,42
238,J.J. Hickson,132
492,J.R. Smith,122
450,JJ Redick,68
360,JaVale McGee,82
119,Jae Crowder,34
532,Jamaal Tinsley,5
115,Jamal Crawford,90
399,Jameer Nelson,37
18,James Anderson,13
216,James Harden,350
282,James Johnson,38
292,James Jones,1
575,James White,8
552,Jan Veselý,15
413,Jannero Pargo,6
121,Jared Cunningham,1
149,Jared Dudley,69
270,Jared Jeffries,9
507,Jared Sullinger,29
260,Jarrett Jack,58
548,Jarvis Varnado,1
103,Jason Collins,7
304,Jason Kidd,12
354,Jason Maxiell,64
453,Jason Richardson,13
493,Jason Smith,38
519,Jason Terry,38
528,Jason Thompson,94
1,Jeff Adrien,41
32,Jeff Ayres,9
206,Jeff Green,132
510,Jeff Taylor,46
512,Jeff Teague,92
161,Jeremy Evans,11
315,Jeremy Lamb,4
330,Jeremy Lin,124
417,Jeremy Pargo,28
539,Jeremy Tyler,2
405,Jermaine O'Neal,58
500,Jerry Stackhouse,5
46,Jerryd Bayless,46
174,Jimmer Fredette,38
85,Jimmy Butler,101
401,Joakim Noah,101
368,Jodie Meeks,31
283,Joe Johnson,64
23,Joel Anthony,14
176,Joel Freeland,10
444,Joel Przybilla,0
429,Johan Petro,8
236,John Henson,44
274,John Jenkins,26
338,John Lucas III,9
469,John Salmons,47
558,John Wall,121
324,Jon Leuer,5
277,Jonas Jerebko,41
546,Jonas Valančiūnas,83
116,Jordan Crawford,64
212,Jordan Hamilton,13
243,Jordan Hill,23
3,Josh Akognon,0
98,Josh Childress,1
218,Josh Harrellson,1
251,Josh Howard,5
365,Josh McRoberts,39
475,Josh Selby,4
494,Josh Smith,163
87,José Calderón,15
245,Jrue Holiday,103
504,Julyan Stone,2
138,Justin Dentmon,0
246,Justin Holiday,3
253,Juwan Howard,1
321,Kawhi Leonard,45
62,Keith Bogans,7
557,Kemba Walker,153
347,Kendall Marshall,4
428,Kendrick Perkins,29
165,Kenneth Faried,114
48,Kent Bazemore,11
349,Kenyon Martin,20
153,Kevin Durant,293
182,Kevin Garnett,82
293,Kevin Jones,6
336,Kevin Love,50
350,Kevin Martin,99
395,Kevin Murphy,0
476,Kevin Séraphin,42
142,Keyon Dooling,2
370,Khris Middleton,12
160,Kim English,16
244,Kirk Hinrich,30
529,Klay Thompson,60
81,Kobe Bryant,230
310,Kosta Koufos,46
254,Kris Humphries,62
300,Kris Joseph,3
522,Kurt Thomas,7
79,Kwame Brown,8
309,Kyle Korver,10
337,Kyle Lowry,85
406,Kyle O'Quinn,21
483,Kyle Singler,59
258,Kyrie Irving,117
7,LaMarcus Aldridge,167
407,Lamar Odom,20
501,Lance Stephenson,42
523,Lance Thomas,28
168,Landry Fields,26
471,Larry Sanders,67
8,Lavoy Allen,27
232,Lazar Hayward,3
265,LeBron James,214
34,Leandro Barbosa,17
307,Linas Kleiza,12
12,Lou Amundson,15
580,Lou Williams,50
359,Luc Mbah a Moute,62
472,Luis Scola,96
33,Luke Babbitt,2
455,Luke Ridnour,31
562,Luke Walton,10
594,Luke Zeller,0
137,Luol Deng,121
568,Maalik Wayns,7
320,Malcolm Lee,10
524,Malcolm Thomas,3
194,Manu Ginóbili,85
78,MarShon Brooks,46
184,Marc Gasol,133
198,Marcin Gortat,64
53,Marco Belinelli,58
90,Marcus Camby,9
384,Marcus Morris,54
531,Marcus Thornton,56
95,Mario Chalmers,31
387,Markieff Morris,56
125,Marquis Daniels,27
513,Marquis Teague,7
496,Marreese Speights,83
571,Martell Webster,94
581,Marvin Williams,35
38,Matt Barnes,53
64,Matt Bonner,6
92,Matt Carroll,0
217,Maurice Harkless,60
585,Metta World Peace,72
322,Meyers Leonard,33
50,Michael Beasley,71
305,Michael Kidd-Gilchrist,97
190,Mickaël Gelabale,10
431,Mickaël Piétrus,9
108,Mike Conley,98
152,Mike Dunleavy,52
266,Mike James,9
375,Mike Miller,2
473,Mike Scott,26
436,Miles Plumlee,2
514,Mirza Teletović,6
582,Mo Williams,19
159,Monta Ellis,156
135,Nando De Colo,13
458,Nate Robinson,53
380,Nazr Mohammed,21
