,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
68,Aaron Brooks,.606,.237,.186,.102,.083,.394,.090,.576,.000,.086
189,Aaron Gordon,.755,.454,.105,.086,.112,.245,.517,.976,.131,.380
225,Aaron Harrison,.474,.211,.053,.000,.211,.526,1.000,.667,.000,.400
439,Adreian Payne,.779,.228,.214,.076,.262,.221,.591,.889,.069,.250
256,Al Horford,.756,.300,.136,.089,.231,.244,.776,1.000,.084,.227
277,Al Jefferson,1.000,.271,.341,.250,.139,.000,.555,,.028,
10,Al-Farouq Aminu,.515,.252,.121,.047,.095,.485,.595,.921,.061,.410
15,Alan Anderson,.373,.153,.085,.102,.034,.627,.333,1.000,.000,.216
580,Alan Williams,1.000,.583,.375,.042,.000,.000,.500,,.000,
78,Alec Burks,.763,.278,.168,.132,.186,.237,.238,.625,.024,.354
334,Alex Len,.989,.442,.224,.128,.192,.011,.669,1.000,.160,.571
516,Alex Stepheson,1.000,.556,.296,.111,.037,.000,.333,,.000,
4,Alexis Ajinça,.997,.283,.257,.108,.346,.003,.767,,.098,.000
112,Allen Crabbe,.580,.133,.069,.109,.270,.420,.769,.964,.019,.302
182,Alonzo Gee,.765,.561,.082,.035,.078,.235,.687,1.000,.282,.900
522,Amar'e Stoudemire,1.000,.624,.163,.063,.149,.000,.712,,.158,
287,Amir Johnson,.899,.547,.305,.035,.014,.101,.665,1.000,.134,.233
552,Anderson Varejão,.992,.379,.202,.194,.218,.008,.717,,.008,.000
138,Andre Drummond,.994,.592,.358,.042,.004,.006,.533,.000,.125,.000
266,Andre Iguodala,.582,.310,.063,.073,.136,.418,.631,.944,.141,.377
384,Andre Miller,.925,.462,.179,.208,.075,.075,.333,1.000,.000,.125
466,Andre Roberson,.624,.533,.077,.007,.007,.376,.712,.969,.157,.748
37,Andrea Bargnani,.943,.140,.122,.194,.487,.057,.863,1.000,.000,.000
59,Andrew Bogut,.996,.677,.258,.047,.014,.004,.764,.000,.297,.000
193,Andrew Goudelock,.550,.000,.200,.150,.200,.450,.125,.000,.000,.222
414,Andrew Nicholson,.632,.210,.294,.087,.042,.368,.362,.976,.061,.167
578,Andrew Wiggins,.853,.321,.158,.132,.243,.147,.510,.825,.070,.158
50,Anthony Bennett,.481,.296,.074,.074,.000,.519,.200,1.000,.074,.286
69,Anthony Brown,.444,.143,.063,.087,.151,.556,.684,.950,.008,.314
123,Anthony Davis,.905,.299,.195,.165,.246,.095,.728,.943,.146,.213
401,Anthony Morrow,.387,.060,.093,.114,.117,.613,.526,.911,.000,.412
542,Anthony Tolliver,.181,.099,.021,.021,.042,.819,.767,.990,.018,.320
188,Archie Goodwin,.765,.526,.130,.021,.088,.235,.346,.696,.064,.162
44,Aron Baynes,.995,.456,.318,.117,.104,.005,.753,,.112,.500
3,Arron Afflalo,.702,.115,.178,.193,.217,.298,.490,.912,.003,.424
465,Austin Rivers,.641,.277,.165,.079,.120,.359,.341,.823,.006,.216
64,Avery Bradley,.601,.216,.034,.042,.309,.399,.647,.912,.025,.329
543,Axel Toupane,.429,.229,.043,.043,.114,.571,.917,1.000,.014,1.000
373,Ben McLemore,.593,.262,.138,.053,.141,.407,.680,.925,.053,.389
548,Beno Udrih,.778,.187,.051,.247,.288,.222,.352,.933,.000,.318
52,Bismack Biyombo,.997,.656,.205,.101,.035,.003,.737,,.299,.000
206,Blake Griffin,.970,.292,.151,.070,.458,.030,.641,.667,.061,.167
352,Boban Marjanović,1.000,.483,.345,.132,.040,.000,.619,,.201,
449,Bobby Portis,.881,.321,.197,.110,.250,.119,.629,.938,.069,.154
58,Bojan Bogdanović,.549,.258,.147,.076,.069,.451,.590,.907,.024,.402
132,Boris Diaw,.820,.394,.277,.073,.076,.180,.480,.960,.000,.072
47,Bradley Beal,.661,.229,.114,.139,.179,.339,.429,.800,.029,.155
592,Brandan Wright,1.000,.519,.346,.058,.077,.000,.714,,.269,
125,Branden Dawson,1.000,.600,.400,.000,.000,.000,.500,,.000,
41,Brandon Bass,.994,.596,.132,.151,.114,.006,.764,,.287,.000
283,Brandon Jennings,.490,.155,.118,.066,.148,.510,.246,.608,.000,.181
316,Brandon Knight,.608,.199,.132,.068,.210,.392,.251,.608,.006,.134
480,Brandon Rush,.396,.196,.062,.042,.096,.604,.891,.908,.038,.420
467,Brian Roberts,.745,.188,.115,.091,.352,.255,.356,.667,.000,.167
568,Briante Weber,.872,.103,.256,.231,.282,.128,.214,,.000,.000
342,Brook Lopez,.988,.324,.323,.189,.152,.012,.591,1.000,.050,.214
82,Bruno Caboclo,.417,.000,.167,.083,.167,.583,,1.000,.000,.714
107,Bryce Cotton,.700,.100,.200,.000,.400,.300,.250,,.000,.000
127,Bryce Dejean-Jones,.536,.319,.014,.058,.145,.464,.375,.833,.101,.188
383,C.J. Miles,.390,.158,.071,.055,.104,.610,.487,.915,.027,.155
567,C.J. Watson,.650,.197,.102,.102,.248,.350,.424,.929,.000,.292
579,C.J. Wilcox,.652,.152,.061,.091,.348,.348,.647,.889,.015,.130
366,CJ McCollum,.670,.174,.149,.147,.201,.330,.203,.721,.008,.214
34,Cameron Bairstow,.875,.275,.250,.150,.200,.125,.667,1.000,.000,.600
440,Cameron Payne,.601,.129,.194,.162,.115,.399,.141,.778,.004,.279
320,Carl Landry,.948,.368,.112,.116,.352,.052,.759,1.000,.048,.154
23,Carmelo Anthony,.763,.213,.087,.208,.255,.237,.273,.743,.018,.103
79,Caron Butler,.695,.034,.051,.153,.458,.305,.636,1.000,.000,.278
435,Chandler Parsons,.614,.300,.138,.052,.126,.386,.481,.865,.034,.175
173,Channing Frye,.323,.112,.069,.037,.098,.677,.738,.989,.035,.221
557,Charlie Villanueva,.474,.190,.202,.046,.037,.526,.564,.979,.012,.163
73,Chase Budinger,.640,.364,.142,.063,.071,.360,.600,.958,.059,.430
12,Chris Andersen,.806,.639,.056,.028,.083,.194,.676,1.000,.097,.071
63,Chris Bosh,.711,.206,.086,.149,.270,.289,.606,.975,.034,.257
106,Chris Copeland,.294,.137,.078,.020,.059,.706,.571,1.000,.000,.222
288,Chris Johnson,.490,.247,.088,.072,.082,.510,.489,.963,.021,.606
307,Chris Kaman,.907,.209,.140,.186,.372,.093,.737,1.000,.000,.250
368,Chris McCullough,.688,.303,.092,.055,.229,.312,.710,.923,.119,.235
438,Chris Paul,.705,.121,.121,.184,.278,.295,.115,.336,.002,.116
590,Christian Wood,.792,.453,.170,.075,.094,.208,.667,.750,.151,.182
228,Chuck Hayes,1.000,.500,.500,.000,.000,.000,1.000,,.000,
144,Cleanthony Early,.625,.250,.075,.025,.275,.375,.625,1.000,.000,.400
7,Cliff Alexander,1.000,.400,.300,.100,.200,.000,.400,,.200,
86,Clint Capela,.997,.786,.209,.000,.003,.003,.667,,.277,.000
599,Cody Zeller,.977,.648,.151,.041,.137,.023,.787,1.000,.195,.200
5,Cole Aldrich,1.000,.560,.427,.013,.000,.000,.776,,.093,
