,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
78,Aaron Gordon,78,6.0,13.4,1.7,5.7,3.7,0.7,0.7,2.1,2.2
458,Aaron Holiday,0,2.1,5.2,0.1,1.2,1.7,0.4,0.3,0.8,1.4
571,Abdel Nader,1,1.5,3.5,0.2,1.7,0.3,0.3,0.2,0.4,1.1
136,Al Horford,68,5.7,10.6,1.8,5.0,4.2,0.9,1.3,1.5,1.9
258,Al-Farouq Aminu,81,3.2,7.3,1.4,6.1,1.3,0.8,0.4,0.9,1.8
600,Alan Williams,0,1.6,2.6,0.8,3.0,0.6,0.2,0.0,0.2,0.4
281,Alec Burks,24,3.0,7.4,0.5,3.2,2.0,0.6,0.3,1.0,1.4
264,Alex Caruso,4,3.1,6.9,0.8,1.9,3.1,1.0,0.4,1.7,2.2
190,Alex Len,31,4.2,8.4,2.1,3.5,1.1,0.4,0.9,1.3,2.6
499,Alex Poythress,1,1.9,3.9,1.4,2.2,0.8,0.2,0.5,0.6,2.2
533,Alfonzo McKinnie,5,1.9,3.8,1.1,2.3,0.4,0.3,0.2,0.4,1.9
726,Alize Johnson,0,0.3,1.1,0.3,1.1,0.1,0.1,0.2,0.0,0.5
247,Allen Crabbe,20,3.2,8.7,0.4,3.1,1.1,0.5,0.3,1.1,2.4
204,Allonzo Trier,3,3.6,8.1,0.5,2.6,1.9,0.4,0.2,1.8,1.8
674,Amile Jefferson,0,0.8,1.3,0.5,1.3,0.3,0.3,0.3,0.1,0.7
579,Amir Johnson,6,1.5,3.1,0.9,2.0,1.2,0.3,0.3,0.9,1.9
59,Andre Drummond,79,7.1,13.3,5.4,10.2,1.4,1.7,1.7,2.2,3.4
473,Andre Iguodala,13,2.2,4.4,0.7,3.0,3.2,0.9,0.8,0.8,1.4
737,Andre Ingram,0,0.0,1.5,0.3,0.3,0.0,0.3,0.0,0.3,0.0
601,Andrew Bogut,5,1.6,3.3,1.1,3.9,1.0,0.3,0.7,0.7,2.0
625,Andrew Harrison,0,0.9,3.1,0.4,0.8,1.4,0.2,0.1,0.7,2.0
55,Andrew Wiggins,73,6.8,16.6,1.1,3.7,2.5,1.0,0.7,1.9,2.1
588,Anfernee Simons,1,1.4,3.2,0.2,0.5,0.7,0.1,0.0,0.6,0.5
325,Ante Žižić,25,3.1,5.6,1.8,3.6,0.9,0.2,0.4,1.0,1.9
9,Anthony Davis,56,9.5,18.3,3.1,8.9,3.9,1.6,2.4,2.0,2.4
512,Anthony Tolliver,0,1.5,4.0,0.2,2.5,0.7,0.3,0.3,0.6,1.4
354,Antonio Blakeney,3,2.9,6.9,0.1,1.7,0.7,0.2,0.2,0.6,0.7
478,Aron Baynes,18,2.1,4.4,1.7,3.0,1.1,0.2,0.7,0.8,2.5
309,Austin Rivers,15,3.1,7.5,0.3,1.8,2.2,0.6,0.3,0.9,2.7
234,Avery Bradley,63,3.9,9.7,0.7,2.1,2.4,0.7,0.3,1.4,2.7
618,B.J. Johnson,0,1.3,2.6,0.3,0.9,0.0,0.3,0.0,0.3,0.6
275,Bam Adebayo,28,3.4,5.9,2.0,5.3,2.2,0.9,0.8,1.5,2.5
581,Ben McLemore,0,1.3,3.4,0.2,0.7,0.2,0.3,0.2,0.3,1.2
65,Ben Simmons,79,6.8,12.2,2.2,6.6,7.7,1.4,0.8,3.5,2.6
408,Billy Garrett,0,2.8,6.8,0.0,0.8,1.8,0.3,0.3,0.5,0.8
541,Bismack Biyombo,32,1.6,2.9,1.5,3.1,0.6,0.2,0.8,0.6,1.9
13,Blake Griffin,75,8.3,17.9,1.3,6.2,5.4,0.7,0.4,3.4,2.7
350,Boban Marjanović,12,2.8,4.5,1.5,3.1,0.9,0.3,0.5,1.0,1.6
109,Bobby Portis,28,5.6,12.6,2.2,5.9,1.4,0.7,0.4,1.5,2.9
113,Bogdan Bogdanović,17,5.2,12.3,0.6,2.9,3.8,1.0,0.2,1.7,2.0
56,Bojan Bogdanović,81,6.4,13.0,0.4,3.7,2.0,0.9,0.0,1.7,1.7
516,Bonzie Colson,2,1.6,4.9,1.0,2.8,0.4,0.6,0.1,0.4,0.4
584,Brad Wanamaker,0,1.4,2.9,0.1,1.1,1.6,0.3,0.1,0.5,0.9
11,Bradley Beal,82,9.3,19.6,1.1,3.9,5.5,1.5,0.7,2.7,2.8
709,Brandon Goodwin,0,0.4,1.4,0.1,0.1,0.9,0.0,0.0,0.2,0.4
48,Brandon Ingram,52,7.0,14.0,0.8,4.3,3.0,0.5,0.6,2.5,2.9
387,Brandon Knight,26,2.5,6.7,0.3,1.3,1.8,0.5,0.1,0.8,1.6
500,Brandon Sampson,2,2.0,4.3,0.2,0.9,0.7,0.6,0.2,0.9,1.4
156,Brook Lopez,81,4.4,9.7,0.4,4.5,1.2,0.6,2.2,1.0,2.3
546,Bruce Brown,56,1.7,4.2,0.6,1.9,1.2,0.5,0.5,0.6,2.4
301,Bruno Caboclo,19,2.8,6.6,1.2,3.4,1.5,0.4,1.0,1.1,2.4
172,Bryn Forbes,81,4.4,9.6,0.2,2.7,2.1,0.5,0.0,1.0,1.9
30,Buddy Hield,82,7.6,16.6,1.3,3.7,2.5,0.7,0.4,1.8,2.5
413,C.J. Miles,1,2.1,5.9,0.2,1.5,0.7,0.5,0.3,0.6,1.5
659,C.J. Williams,0,1.1,2.3,0.1,0.5,0.8,0.4,0.0,0.3,1.1
28,CJ McCollum,70,8.2,17.8,0.9,3.1,3.0,0.8,0.4,1.5,2.5
683,Caleb Swanigan,0,0.9,2.5,0.8,2.2,0.5,0.3,0.0,0.9,1.3
421,Cameron Payne,13,2.4,5.6,0.3,1.5,2.7,0.7,0.2,1.1,1.6
511,Cameron Reynolds,0,1.7,4.1,0.2,1.4,0.7,0.3,0.1,0.3,1.4
128,Caris LeVert,25,5.2,12.1,0.9,2.9,3.9,1.1,0.4,1.7,1.9
138,Carmelo Anthony,2,4.9,12.1,0.9,4.5,0.5,0.4,0.7,0.8,3.2
144,Cedi Osman,75,4.7,11.1,0.6,4.1,2.6,0.8,0.1,1.5,2.6
495,Chandler Hutchison,14,2.2,4.8,0.7,3.5,0.8,0.5,0.1,0.6,1.3
347,Chandler Parsons,3,2.7,7.3,0.2,2.6,1.7,0.8,0.2,1.3,1.8
596,Channing Frye,6,1.2,3.3,0.1,1.3,0.6,0.2,0.1,0.4,1.2
481,Chasson Randle,2,1.9,4.4,0.2,0.9,2.0,0.5,0.1,0.9,1.9
446,Cheick Diallo,1,2.6,4.2,1.2,4.0,0.5,0.5,0.5,0.8,1.8
696,Chimezie Metu,0,0.7,2.0,0.3,0.9,0.4,0.2,0.1,0.5,0.5
622,Chris Boucher,0,1.2,2.7,0.6,1.4,0.1,0.2,0.9,0.3,1.1
725,Chris Chiozza,0,0.3,1.1,0.1,0.4,0.6,0.1,0.1,0.1,0.3
88,Chris Paul,58,5.2,12.4,0.6,3.9,8.2,2.0,0.3,2.6,2.5
302,Christian Wood,2,2.9,5.6,0.8,3.1,0.4,0.3,0.5,0.8,0.8
69,Clint Capela,67,7.1,10.9,4.4,8.2,1.4,0.7,1.5,1.4,2.5
232,Cody Zeller,47,3.9,7.0,2.2,4.6,2.1,0.8,0.8,1.3,3.3
68,Collin Sexton,72,6.3,14.7,0.7,2.2,3.0,0.5,0.1,2.3,2.3
513,Corey Brewer,3,1.7,4.0,0.8,1.6,1.3,1.0,0.2,0.6,2.0
