,index,Roster,LE_Component_1,LE_Component_2,Win_Percentage,Avg Height,Standard Deviation of Roster Height,Season,Distance
0,0,2001ATL,0.00193914465399852,0.005253314944510574,0.3048780487804878,79.7,4.73,2001,0.003596229799254547
1,1,2001BOS,0.00036992266300825085,0.0018606214287834545,0.43902439024390244,79.3,3.68,2001,0.0011152720458958527
2,2,2001CHH,0.002601976542768685,0.0024427633447343024,0.5609756097560976,80.0,3.83,2001,0.0025223699437514936
3,3,2001CHI,-0.0025542980857353255,0.0010335745503639528,0.18292682926829268,78.3,3.6,2001,-0.0007603617676856864
4,4,2001CLE,-4.258932129178978e-05,-0.0028579506552411835,0.36585365853658536,79.4,2.62,2001,-0.0014502699882664866
5,5,2001DAL,0.0006768900937232627,0.0004385435715627775,0.6463414634146342,80.0,4.48,2001,0.0005577168326430201
6,6,2001DEN,0.0011857994872173227,0.00141316215104995,0.4878048780487805,79.6,3.65,2001,0.0012994808191336363
7,7,2001DET,-0.0036850784824388996,0.0027715321661854193,0.3902439024390244,77.9,4.03,2001,-0.00045677315812674016
8,8,2001GSW,0.0008080363709019067,0.0007121110539049126,0.2073170731707317,79.4,3.39,2001,0.0007600737124034097
9,9,2001HOU,0.0011295768938037487,0.0006669144780522996,0.5487804878048781,79.6,3.42,2001,0.0008982456859280241
10,10,2001IND,0.005562780115057941,0.00032873040550754346,0.5,80.9,3.44,2001,0.0029457552602827424
11,11,2001LAC,0.0029895039571379033,-0.0014072815631779028,0.3780487804878049,80.3,2.89,2001,0.0007911111969800003
12,12,2001LAL,0.001135824468272232,-0.0012452233198172213,0.6829268292682927,79.8,3.16,2001,-5.4699425772494585e-05
13,13,2001MIA,-0.0025687945719148485,0.0017928660283500928,0.6097560975609756,78.2,3.52,2001,-0.0003879642717823778
14,14,2001MIL,0.0016822788326108155,-0.0008043184635788502,0.6341463414634146,79.8,2.97,2001,0.0004389801845159827
15,15,2001MIN,0.000195547624528797,0.001224783240373429,0.573170731707317,79.2,3.74,2001,0.000710165432451113
16,16,2001NJN,-2.7308052260176963e-05,0.0009251558857771141,0.3170731707317073,79.1,3.38,2001,0.00044892391675846856
17,17,2001NYK,-0.002027231385974465,0.00035334598864662835,0.5853658536585366,78.6,3.14,2001,-0.0008369426986639184
18,18,2001ORL,0.002004339521183182,0.0015733667224774948,0.524390243902439,79.8,3.55,2001,0.0017888531218303383
19,19,2001PHI,0.0037221806752569947,0.0016671762010577605,0.6829268292682927,80.4,3.99,2001,0.0026946784381573774
20,20,2001PHO,0.004202735586547781,0.0003423925673221698,0.6219512195121951,80.7,3.92,2001,0.0022725640769349752
21,21,2001POR,0.0033266784107659556,0.004739495654584733,0.6097560975609756,79.9,4.9,2001,0.0040330870326753445
22,22,2001SAC,0.0023959713602819117,0.0025697526041145256,0.6707317073170732,80.0,4.03,2001,0.002482861982198219
23,23,2001SAS,0.000854388482544464,0.002426598542146383,0.7073170731707317,79.3,4.19,2001,0.0016404935123454237
24,24,2001SEA,0.00034221945743093476,0.00017110196042688166,0.5365853658536586,79.5,3.44,2001,0.0002566607089289082
25,25,2001TOR,0.0009412045191158371,-0.0006815282184648309,0.573170731707317,79.6,3.14,2001,0.0001298381503255031
26,26,2001UTA,0.002719470579053083,0.0017554398128750727,0.6463414634146342,80.0,3.96,2001,0.002237455195964078
27,27,2001VAN,0.0022069920763918586,-0.00021056433634273163,0.2804878048780488,80.0,3.23,2001,0.0009982138700245634
28,28,2001WAS,-0.00373162506064324,-0.002475181828270903,0.23170731707317074,78.1,2.62,2001,-0.0031034034444570716
29,29,2002ATL,0.00038632154544281046,0.0010961667526911652,0.4024390243902439,79.3,3.4,2002,0.0007412441490669879
30,30,2002BOS,0.00042420411662773163,0.0017588282887410298,0.5975609756097561,79.2,3.55,2002,0.0010915162026843808
31,31,2002CHH,0.0014606199703742176,0.0027135222977107995,0.5365853658536586,79.6,3.81,2002,0.0020870711340425087
32,32,2002CHI,0.00394564067616045,-0.0013481245976918093,0.25609756097560976,80.6,2.91,2002,0.0012987580392343203
33,33,2002CLE,0.0030512820618322826,-0.002185332885134001,0.35365853658536583,80.5,3.32,2002,0.0004329745883491407
34,34,2002DAL,0.001762233934105864,0.0025118883995456755,0.6951219512195121,80.1,4.69,2002,0.0021370611668257698
35,35,2002DEN,-0.0007829245762537264,0.002348970079588399,0.32926829268292684,78.7,3.97,2002,0.0007830227516673362
36,36,2002DET,-0.0040903589050891274,0.0027654796713889257,0.6097560975609756,77.9,4.13,2002,-0.0006624396168501009
37,37,2002GSW,0.0012204834248834583,-0.0023624175152400706,0.25609756097560976,79.9,2.5,2002,-0.0005709670451783061
38,38,2002HOU,0.0011295768938037268,0.0006669144780522532,0.34146341463414637,79.6,3.42,2002,0.00089824568592799
39,39,2002IND,0.004292987695845003,0.0015988135240458579,0.5121951219512195,80.4,3.81,2002,0.0029459006099454305
40,40,2002LAC,0.0025745914845941606,0.0013771694461603813,0.47560975609756095,79.1,5.06,2002,0.0019758804653772707
41,41,2002LAL,0.0011660015204093468,0.0006839170053767568,0.7073170731707317,79.6,3.53,2002,0.0009249592628930518
42,42,2002MEM,-0.00023005595098120487,0.004869494712864559,0.2804878048780488,78.7,4.49,2002,0.002319719380941677
