,Roster,LE_Component_1,LE_Component_2,Win_Percentage,Avg Height,Standard Deviation of Roster Height,Season,Distance
0,2001ATL,0.0019391446539984813,0.005253314944510538,0.3048780487804878,79.7,4.73,2001,0.0035962297992545096
1,2001BOS,0.0003699226630082388,0.0018606214287834862,0.43902439024390244,79.3,3.68,2001,0.0011152720458958625
2,2001CHH,0.0026019765427686982,0.0024427633447343983,0.5609756097560976,80.0,3.83,2001,0.0025223699437515483
3,2001CHI,-0.0025542980857353355,0.001033574550363958,0.18292682926829268,78.3,3.6,2001,-0.0007603617676856888
4,2001CLE,-4.2589321291795356e-05,-0.00285795065524109,0.36585365853658536,79.4,2.62,2001,-0.0014502699882664425
5,2001DAL,0.0006768900937232697,0.00043854357156277287,0.6463414634146342,80.0,4.48,2001,0.0005577168326430212
6,2001DEN,0.001185799487217323,0.0014131621510499544,0.4878048780487805,79.6,3.65,2001,0.0012994808191336387
7,2001DET,-0.003685078482439019,0.002771532166185365,0.3902439024390244,77.9,4.03,2001,-0.0004567731581268269
8,2001GSW,0.0008080363709019221,0.0007121110539049747,0.2073170731707317,79.4,3.39,2001,0.0007600737124034484
9,2001HOU,0.0011295768938037107,0.0006669144780522708,0.5487804878048781,79.6,3.42,2001,0.0008982456859279908
10,2001IND,0.005562780115057853,0.0003287304055076987,0.5,80.9,3.44,2001,0.002945755260282776
11,2001LAC,0.0029895039571379766,-0.0014072815631778954,0.3780487804878049,80.3,2.89,2001,0.0007911111969800406
12,2001LAL,0.0011358244682722445,-0.001245223319817222,0.6829268292682927,79.8,3.16,2001,-5.469942577248873e-05
13,2001MIA,-0.0025687945719148953,0.00179286602835004,0.6097560975609756,78.2,3.52,2001,-0.0003879642717824277
14,2001MIL,0.001682278832610814,-0.0008043184635787244,0.6341463414634146,79.8,2.97,2001,0.0004389801845160448
15,2001MIN,0.00019554762452878168,0.0012247832403734155,0.573170731707317,79.2,3.74,2001,0.0007101654324510986
16,2001NJN,-2.7308052260210147e-05,0.0009251558857771532,0.3170731707317073,79.1,3.38,2001,0.00044892391675847154
17,2001NYK,-0.002027231385974449,0.00035334598864665947,0.5853658536585366,78.6,3.14,2001,-0.0008369426986638948
18,2001ORL,0.0020043395211831318,0.0015733667224776115,0.524390243902439,79.8,3.55,2001,0.0017888531218303717
19,2001PHI,0.003722180675256973,0.001667176201057798,0.6829268292682927,80.4,3.99,2001,0.0026946784381573856
20,2001PHO,0.004202735586547813,0.0003423925673221524,0.6219512195121951,80.7,3.92,2001,0.0022725640769349826
21,2001POR,0.0033266784107658614,0.004739495654584617,0.6097560975609756,79.9,4.9,2001,0.0040330870326752396
22,2001SAC,0.0023959713602818857,0.002569752604114547,0.6707317073170732,80.0,4.03,2001,0.0024828619821982163
23,2001SAS,0.0008543884825443881,0.002426598542146342,0.7073170731707317,79.3,4.19,2001,0.0016404935123453652
24,2001SEA,0.00034221945743091644,0.00017110196042681298,0.5365853658536586,79.5,3.44,2001,0.0002566607089288647
25,2001TOR,0.0009412045191158299,-0.000681528218464802,0.573170731707317,79.6,3.14,2001,0.00012983815032551399
26,2001UTA,0.002719470579053073,0.0017554398128751649,0.6463414634146342,80.0,3.96,2001,0.0022374551959641192
27,2001VAN,0.002206992076391876,-0.0002105643363426227,0.2804878048780488,80.0,3.23,2001,0.0009982138700246265
28,2001WAS,-0.003731625060643183,-0.002475181828270983,0.23170731707317074,78.1,2.62,2001,-0.003103403444457083
29,2002ATL,0.00038632154544280064,0.0010961667526912338,0.4024390243902439,79.3,3.4,2002,0.0007412441490670173
30,2002BOS,0.0004242041166277062,0.0017588282887411135,0.5975609756097561,79.2,3.55,2002,0.00109151620268441
31,2002CHH,0.0014606199703741981,0.0027135222977108632,0.5365853658536586,79.6,3.81,2002,0.002087071134042531
32,2002CHI,0.0039456406761604595,-0.0013481245976919038,0.25609756097560976,80.6,2.91,2002,0.0012987580392342778
33,2002CLE,0.0030512820618321863,-0.0021853328851340796,0.35365853658536583,80.5,3.32,2002,0.0004329745883490533
34,2002DAL,0.0017622339341058183,0.002511888399545655,0.6951219512195121,80.1,4.69,2002,0.002137061166825737
35,2002DEN,-0.0007829245762537479,0.0023489700795884206,0.32926829268292684,78.7,3.97,2002,0.0007830227516673364
36,2002DET,-0.004090358905089163,0.0027654796713889934,0.6097560975609756,77.9,4.13,2002,-0.0006624396168500848
37,2002GSW,0.001220483424883469,-0.0023624175152400454,0.25609756097560976,79.9,2.5,2002,-0.0005709670451782882
38,2002HOU,0.0011295768938037176,0.0006669144780522742,0.34146341463414637,79.6,3.42,2002,0.0008982456859279959
39,2002IND,0.004292987695844977,0.001598813524046083,0.5121951219512195,80.4,3.81,2002,0.00294590060994553
40,2002LAC,0.002574591484594156,0.0013771694461603703,0.47560975609756095,79.1,5.06,2002,0.001975880465377263
