Player,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,% of FGA by Distance: 2P,% of FGA by Distance: 0-3ft,% of FGA by Distance: 3-10ft,% of FGA by Distance: 10-16ft,% of FGA by Distance: 16-3P,% of FGA by Distance: 3P,FG% by Distance: 2P,FG% by Distance: 0-3ft,FG% by Distance: 3-10ft,FG% by Distance: 10-16ft,FG% by Distance: 16-3P,FG% by Distance: 3P,% of FG Ast'd: 2P,% of FG Ast'd: 3P
Jeff Adrien,27,TOT,NBA,PF,53,961,.520,5.5,1.000,.560,.222,.098,.120,.000,.520,.617,.426,.333,.394,,.643,
LaMarcus Aldridge,28,POR,NBA,PF,69,2498,.458,12.5,.989,.186,.162,.226,.415,.011,.461,.675,.364,.388,.442,.200,.599,.667
Lavoy Allen,24,TOT,NBA,PF,65,1072,.447,9.7,.957,.290,.270,.140,.257,.043,.460,.563,.531,.286,.364,.154,.697,1.000
Lou Amundson,31,TOT,NBA,PF,19,185,.500,4.1,1.000,.625,.281,.063,.031,.000,.500,.650,.333,.000,.000,,.750,
Ryan Anderson,25,NOP,NBA,PF,22,795,.438,16.8,.537,.198,.093,.090,.155,.463,.463,.529,.333,.344,.527,.409,.420,.985
Carmelo Anthony,29,NYK,NBA,PF,77,2982,.452,15.2,.747,.191,.078,.199,.279,.253,.469,.589,.320,.443,.447,.402,.292,.713
Jeff Ayres,26,SAS,NBA,PF,73,952,.580,4.8,1.000,.644,.167,.109,.080,.000,.580,.714,.345,.421,.214,,.792,
Luke Babbitt,24,NOP,NBA,PF,27,473,.390,19.4,.383,.065,.136,.117,.065,.617,.407,.600,.381,.333,.400,.379,.375,1.000
Brandon Bass,28,BOS,NBA,PF,82,2266,.486,9.3,.992,.348,.171,.233,.240,.008,.487,.603,.290,.562,.385,.333,.603,.500
Anthony Bennett,20,CLE,NBA,PF,52,663,.356,13.3,.764,.293,.111,.071,.289,.236,.390,.606,.200,.250,.277,.245,.612,1.000
DeJuan Blair,24,DAL,NBA,PF,78,1214,.534,5.1,.995,.481,.387,.115,.013,.005,.537,.640,.474,.333,.400,.000,.733,
Andray Blatche,27,BRK,NBA,PF,73,1618,.476,10.2,.920,.393,.160,.102,.264,.080,.494,.660,.389,.377,.354,.278,.539,.933
