,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
0,AJ Griffin,ATL,72,34,38,19.5,8.9,21.1,14.2,0.7,2.09,1.51,0.421,0.4,0.0,0.7,0.806,2.0,0.94,2.8,0.9,1.8,50.0,0.3,0.4,88.5,74.1,0.7,23.4,0.1,3.9,0.2,5.4,0.2,6.3,2.1,50.0,3.2,37.6,2.9,48.9,0.7,73.3,0.0,100.0,0.3,75.0,56.0,0.6,0.2,32.4,1.2,48.7,0.0,49.3,12.0,1.8,0.4,21.6,3.0,61.1,0.2,64.8,7.6,0.6,0.2,1.5,2.0,74.5
1,Aaron Gordon,DEN,68,45,23,30.2,16.3,42.5,23.9,2.1,2.95,2.1,0.384,1.8,2.2,6.7,0.479,0.707,1.179,3.4,0.9,1.6,55.7,0.6,1.1,54.5,72.8,0.9,26.8,0.3,8.8,0.2,7.0,0.6,16.7,2.4,55.7,1.8,31.4,1.5,35.1,7.9,75.2,1.5,48.6,0.9,53.8,60.3,2.4,1.7,68.9,4.7,52.2,0.1,53.8,5.7,4.2,1.1,25.2,6.5,64.7,0.4,68.8,6.0,0.8,0.8,1.9,3.1,60.6
2,Aaron Nesmith,IND,73,30,43,24.9,10.1,36.1,20.8,1.0,1.68,0.81,0.28,0.4,0.0,1.1,0.759,0.0,0.792,4.1,0.8,1.8,44.6,0.6,0.7,78.8,53.7,1.5,37.0,0.3,8.0,0.3,7.7,0.4,8.7,2.2,44.6,4.0,35.5,1.3,43.5,0.8,59.1,0.0,0.0,0.3,78.6,52.5,0.9,0.5,53.2,2.5,34.6,0.1,35.8,10.6,3.0,0.6,21.4,6.0,50.2,0.7,56.6,5.9,0.8,0.5,1.9,3.0,64.5
3,Admiral Schofield,ORL,37,14,23,12.2,4.2,19.3,9.6,0.6,1.83,0.91,0.217,0.6,0.0,1.1,0.571,0.0,0.78,0.9,0.3,0.6,47.6,0.2,0.2,100.0,81.8,0.1,15.2,0.0,0.0,0.1,9.1,0.1,9.1,0.7,47.6,1.9,33.8,0.1,14.3,0.9,68.2,0.0,0.0,0.3,75.0,54.9,1.0,0.5,47.8,2.6,36.5,0.1,37.7,8.6,1.6,0.5,28.2,3.5,46.4,0.3,51.3,6.2,0.2,0.1,1.0,1.4,74.0
4,Al Horford,BOS,63,44,19,30.5,9.8,45.7,25.4,1.2,1.53,0.48,0.214,1.1,0.9,2.7,0.268,0.386,0.553,1.3,0.3,0.5,60.0,0.0,0.1,50.0,45.9,0.7,55.3,0.2,15.3,0.0,2.4,0.0,3.5,0.6,60.0,6.9,43.6,0.3,40.0,1.5,54.9,0.3,50.0,0.3,45.0,62.7,1.2,0.6,54.8,2.3,50.7,0.1,52.9,9.8,5.0,1.4,28.1,8.1,61.9,0.8,69.1,5.6,0.5,1.0,2.8,4.7,59.1
5,Aleksej Pokusevski,OKC,34,16,18,20.6,8.1,41.7,22.7,1.1,1.6,0.75,0.195,1.6,0.0,3.1,0.63,0.0,0.71,2.6,0.4,1.2,32.5,0.2,0.3,70.0,36.7,1.1,40.0,0.2,7.8,0.2,6.7,0.1,5.6,1.0,32.5,3.4,37.4,0.3,27.8,2.2,54.5,0.0,0.0,1.0,66.7,51.0,1.4,0.9,66.7,2.8,48.9,0.1,50.6,5.8,3.5,1.2,34.2,6.8,50.9,1.0,59.7,4.7,0.6,1.3,3.3,5.4,61.2
6,Alize Johnson,SAS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.3,0.3,100.0,0.0,0.0,0.0,50.0,0.5,50.0,0.3,25.0,0.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,0.5,100.0,1.5,33.3,0.3,40.0,3.7,2.0,0.3,12.5,3.0,66.7,0.0,66.7,3.9,0.3,0.0,0.0,1.8,0.0
7,Amir Coffey,LAC,50,26,24,12.5,3.4,13.6,10.1,0.6,2.5,1.66,0.253,0.1,0.0,0.2,0.429,0.0,0.333,2.2,0.5,1.2,40.7,0.4,0.5,76.9,62.7,0.6,29.1,0.2,7.3,0.1,4.5,0.3,11.8,1.4,40.7,0.7,32.4,0.4,28.6,0.1,50.0,0.0,0.0,0.1,0.0,42.4,0.7,0.2,29.4,1.5,44.7,0.0,45.9,11.8,1.4,0.2,11.1,2.7,51.4,0.2,56.3,9.8,0.1,0.1,0.6,0.8,70.0
8,Andre Iguodala,GSW,7,2,5,13.5,1.7,24.4,13.3,0.7,1.76,0.68,0.07,0.7,0.0,1.3,0.4,0.0,0.889,0.9,0.1,0.1,100.0,0.0,0.0,0.0,50.0,0.6,66.7,0.1,16.7,0.1,16.7,0.0,0.0,0.4,100.0,0.0,0.0,0.0,0.0,1.1,100.0,0.0,0.0,0.3,100.0,41.7,0.5,0.2,33.3,0.8,60.0,0.0,60.0,11.2,1.7,0.3,20.0,3.5,47.6,0.5,55.6,6.2,0.4,0.3,1.6,2.0,78.6
9,Andrew Nembhard,IND,75,32,43,27.6,9.5,49.3,23.7,3.0,3.65,3.32,0.192,0.4,0.1,0.6,0.452,0.0,0.532,8.3,1.4,3.1,45.1,0.3,0.4,82.1,38.1,4.3,52.2,0.9,11.2,0.4,5.0,0.2,2.2,3.2,45.1,3.0,37.7,2.4,35.9,0.3,57.1,0.0,0.0,0.2,63.6,51.2,0.5,0.1,17.1,1.3,38.5,0.1,42.2,16.5,2.3,0.4,16.5,3.8,60.3,0.3,64.6,8.5,0.9,0.2,1.5,2.2,68.9
