,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,Aaron Gordon,DEN,12,7,5,37.1,14.3,51.9,27.3,2.7,3.14,2.41,0.276,2.2,0.7,7.8,0.231,0.0,0.871,3.2,0.7,1.5,44.4,0.4,0.5,83.3,55.3,1.2,36.8,0.3,10.5,0.2,5.3,0.3,7.9,1.8,44.4,3.4,44.1,0.7,44.4,6.8,72.0,0.0,0.0,0.5,28.6,63.1
1,Aaron Nesmith,IND,17,8,9,32.9,10.5,49.3,28.0,1.3,1.53,0.86,0.212,0.2,0.0,0.8,0.0,0.0,0.769,5.1,1.4,2.2,60.5,0.8,0.8,92.9,69.8,1.8,34.9,0.4,8.1,0.5,9.3,0.4,8.1,3.5,60.5,3.7,29.6,1.4,44.0,0.6,80.0,0.0,0.0,0.0,0.0,51.1
2,Al Horford,BOS,19,16,3,30.3,9.2,39.2,24.2,0.9,1.34,0.41,0.234,1.3,0.8,2.8,0.5,0.533,0.642,0.8,0.5,0.5,100.0,0.1,0.1,50.0,118.8,0.3,31.3,0.1,12.5,0.1,6.3,0.1,6.3,1.0,100.0,5.8,38.8,0.0,0.0,1.8,65.2,0.4,66.7,0.6,83.3,60.5
3,Amir Coffey,LAC,6,2,4,18.7,2.8,17.7,9.7,0.6,1.99,0.99,0.16,0.5,0.0,0.7,0.0,0.0,1.0,1.5,0.3,0.8,40.0,0.0,0.0,0.0,44.4,0.5,33.3,0.0,0.0,0.2,11.1,0.0,0.0,0.7,40.0,1.8,30.8,0.7,66.7,0.7,50.0,0.0,0.0,0.0,0.0,38.6
4,Andrew Nembhard,IND,17,8,9,32.6,14.9,58.0,32.8,3.2,3.29,2.94,0.257,0.4,0.0,1.1,0.286,0.0,0.526,10.3,2.6,4.4,58.7,0.4,0.5,75.0,53.7,5.0,48.6,1.4,13.1,0.4,3.4,0.2,2.3,5.5,58.7,4.6,50.0,3.6,49.2,0.6,50.0,0.0,0.0,0.1,0.0,64.0
5,Anthony Davis,LAL,5,1,4,41.6,27.8,75.4,43.8,3.0,2.36,1.12,0.369,6.2,4.6,10.4,0.839,0.522,1.365,6.0,2.2,4.2,52.4,0.6,0.8,75.0,83.3,0.4,6.7,0.2,3.3,0.8,13.3,0.4,6.7,5.0,52.4,1.6,30.8,2.8,50.0,14.2,78.9,2.4,40.0,5.2,60.0,63.4
6,Bam Adebayo,MIA,5,1,4,38.5,22.6,69.4,40.8,3.9,3.4,2.4,0.326,4.2,6.4,5.4,0.667,0.781,0.926,8.2,1.8,5.2,34.6,0.6,0.8,75.0,53.7,1.8,22.0,0.0,0.0,0.6,7.3,0.4,4.9,4.4,34.6,5.2,54.5,4.0,34.5,5.0,55.6,5.0,50.0,2.8,63.6,50.5
7,Bobby Portis,MIL,6,2,4,31.1,16.5,60.0,35.8,2.2,2.18,1.07,0.275,1.3,4.5,5.2,0.5,0.704,0.839,4.0,1.2,3.0,38.9,0.0,0.0,0.0,62.5,0.7,16.7,0.0,0.0,0.2,4.2,0.0,0.0,2.5,38.9,3.8,50.0,3.7,40.7,4.3,52.2,3.2,53.3,0.7,33.3,50.0
8,Bojan Bogdanovic,NYK,4,3,1,12.7,6.0,15.8,11.3,0.5,2.05,1.32,0.381,0.0,0.5,0.3,0.0,1.0,0.0,2.3,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.3,11.1,0.3,11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8,41.7,1.3,20.0,0.0,0.0,0.5,100.0,0.0,0.0,41.7
9,Bol Bol,PHX,3,0,3,4.3,0.7,3.0,1.0,0.1,2.63,1.89,0.222,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3
10,Brandon Ingram,NOP,4,0,4,36.4,14.3,58.3,33.3,3.8,3.9,3.03,0.245,1.8,2.3,1.0,1.143,0.222,1.5,11.0,1.0,4.8,21.1,2.0,2.0,100.0,36.4,4.3,38.6,0.8,6.8,0.5,4.5,1.0,9.1,4.0,21.1,1.8,27.3,6.8,40.6,1.5,100.0,0.5,25.0,2.0,50.0,36.4
11,Caleb Martin,MIA,5,1,4,35.1,11.6,44.2,21.8,2.9,3.91,3.29,0.262,0.0,0.0,0.6,0.0,0.0,0.0,3.8,0.6,2.0,30.0,0.4,0.4,100.0,42.1,1.2,31.6,0.2,5.3,0.2,5.3,0.2,5.3,1.6,30.0,5.2,47.4,2.6,33.3,0.0,0.0,0.0,0.0,0.0,0.0,58.9
12,Chet Holmgren,OKC,10,6,4,34.5,15.6,59.9,33.1,1.7,1.73,0.68,0.26,1.4,0.4,5.3,0.714,0.0,1.151,4.4,1.1,2.2,50.0,0.5,0.6,83.3,61.4,1.4,31.8,0.1,2.3,0.2,4.5,0.3,6.8,2.7,50.0,4.5,30.8,0.8,30.8,6.1,81.8,0.0,0.0,1.0,75.0,55.0
13,Chris Livingston,MIL,2,0,2,3.1,1.0,1.5,1.5,0.0,1.75,0.67,0.667,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,100.0
14,Chuma Okeke,ORL,2,2,0,4.9,3.0,6.5,4.0,0.2,1.63,0.69,0.462,0.0,0.0,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,50.0,0.0,0.0,1.5,100.0,0.0,0.0,0.0,0.0,83.3
15,DaQuan Jeffries,NYK,4,1,3,5.0,2.0,4.5,3.0,0.1,1.22,0.78,0.444,0.0,0.0,0.3,0.0,0.0,2.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,40.0,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,50.0
16,Daniel Gafford,DAL,22,13,9,20.2,9.0,26.9,15.4,0.7,1.58,0.32,0.333,1.7,0.4,5.7,0.595,0.889,1.254,1.0,0.1,0.5,16.7,0.2,0.5,50.0,45.5,0.1,9.1,0.0,0.0,0.1,13.6,0.2,22.7,0.5,16.7,0.0,0.0,0.0,0.0,7.2,76.1,0.4,75.0,1.0,60.0,63.4
17,Daniel Theis,LAC,1,0,1,4.4,3.0,7.0,4.0,0.1,1.23,0.14,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
18,Danilo Gallinari,MIL,3,1,2,12.4,3.7,19.7,11.3,0.9,2.7,1.17,0.186,0.7,0.7,1.3,1.0,2.0,1.25,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,66.7,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,50.0,0.7,25.0,1.7,100.0,1.3,100.0,0.7,0.0,50.0
19,David Roddy,PHX,2,0,2,1.4,0.0,2.5,1.5,0.1,2.72,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Dean Wade,CLE,3,0,3,21.0,3.7,25.0,15.7,0.6,1.49,0.53,0.147,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,50.0,0.0,0.0,0.3,25.0,0.0,0.0,0.0,0.0,2.0,22.2,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3
21,Derrick Jones Jr.,DAL,22,13,9,29.4,9.1,28.9,15.6,0.8,1.74,0.94,0.314,0.7,0.0,2.5,0.933,0.0,0.852,3.0,0.6,1.5,43.8,0.4,0.5,66.7,55.2,1.0,31.3,0.4,11.9,0.3,10.4,0.3,9.0,1.7,43.8,3.1,36.5,0.4,50.0,2.1,60.5,0.0,0.0,0.6,75.0,55.6
22,Doug McDermott,IND,10,4,6,6.4,1.3,6.7,5.1,0.1,1.1,0.4,0.194,0.0,0.0,0.1,0.0,0.0,2.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,28.6,0.3,50.0,0.2,100.0,0.0,0.0,0.0,0.0,59.1
23,Drew Eubanks,PHX,3,0,3,12.5,5.7,14.7,8.3,0.4,1.59,0.41,0.386,2.3,0.3,4.0,0.857,0.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,57.1,0.0,0.0,2.0,50.0,58.3
24,Duncan Robinson,MIA,5,1,4,11.9,2.6,15.4,11.6,0.7,2.6,1.79,0.169,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,100.0,0.0,0.0,0.0,40.0,0.6,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,100.0,0.6,16.7,1.6,33.3,0.0,0.0,0.0,0.0,0.0,0.0,40.6
25,Dwight Powell,DAL,13,8,5,3.4,0.5,4.1,2.2,0.1,1.84,0.94,0.113,0.2,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,33.3,0.0,0.0,0.0,0.0,33.3
