,Player,G,MP,USG%
173,A.J. Guyton,2,9,23.6
294,Aaron McKie,80,2374,15.8
480,Aaron Williams,81,1597,16.4
181,Adam Harrington,19,111,16.5
147,Adonal Foyle,82,1787,11.0
170,Adrian Griffin,74,1373,13.2
184,Al Harrington,82,2467,21.6
195,Alan Henderson,82,1494,13.8
204,Allan Houston,82,3108,27.0
216,Allen Iverson,82,3485,32.9
139,Alton Ford,11,31,17.8
481,Alvin Williams,78,2638,19.7
290,Amal McCaskill,11,70,13.6
427,Amar'e Stoudemire,82,2570,21.5
299,Andre Miller,80,2913,20.3
248,Andrei Kirilenko,80,2213,19.6
115,Andrew DeClercq,77,1327,13.8
178,Anfernee Hardaway,58,1777,19.2
407,Ansu Sesay,45,448,14.8
228,Antawn Jamison,82,3226,24.5
82,Anthony Carter,49,912,17.3
161,Anthony Goldwire,15,85,18.7
233,Anthony Johnson,66,842,16.3
283,Anthony Mason,65,2119,11.5
356,Anthony Peeler,82,2245,14.4
383,Antoine Rigaudeau,11,91,20.4
458,Antoine Walker,78,3235,27.9
108,Antonio Daniels,67,872,13.3
109,Antonio Davis,53,1894,21.3
188,Antonio Harvey,4,32,11.5
261,Art Long,26,211,21.3
395,Arvydas Sabonis,78,1209,19.4
103,Austin Croshere,49,633,18.9
234,Avery Johnson,48,430,20.7
110,Baron Davis,50,1889,24.0
460,Ben Wallace,73,2873,10.2
94,Bimbo Coles,35,691,13.8
342,Bo Outlaw,80,1800,10.1
432,Bob Sura,55,1130,17.9
217,Bobby Jackson,59,1676,23.8
410,Bobby Simmons,36,378,16.9
467,Bonzi Wells,75,2396,25.9
322,Boštjan Nachbar,14,77,24.8
300,Brad Miller,73,2270,18.7
17,Brandon Armstrong,17,69,22.6
482,Brandon Williams,6,19,24.1
194,Brendan Haywood,81,1930,12.5
25,Brent Barry,75,2480,14.9
250,Brevin Knight,55,928,16.4
81,Brian Cardinal,5,15,18.5
168,Brian Grant,82,2641,16.0
406,Brian Scalabrine,59,724,14.4
408,Brian Shaw,72,900,15.9
411,Brian Skinner,77,1381,15.1
46,Bruce Bowen,82,2566,10.7
431,Bruno Šundov,26,138,22.2
125,Bryce Drew,13,79,17.3
394,Bryon Russell,70,1388,13.3
87,Calbert Cheaney,81,2351,15.5
43,Calvin Booth,47,575,13.2
19,Carlos Arroyo,44,287,23.8
44,Carlos Boozer,81,2049,17.1
74,Caron Butler,78,2858,22.9
225,Casey Jacobsen,72,1147,16.7
449,Cezary Trybański,15,86,17.0
333,Charles Oakley,42,514,8.4
414,Charles Smith,3,13,24.0
463,Charlie Ward,66,1465,16.8
38,Chauncey Billups,74,2327,24.1
351,Cherokee Parks,30,648,13.8
9,Chris Andersen,59,907,19.9
88,Chris Childs,12,106,11.6
101,Chris Crawford,5,38,22.3
127,Chris Dudley,3,11,4.2
230,Chris Jefferies,51,666,17.7
297,Chris Mihm,52,809,20.5
305,Chris Mills,21,262,20.1
343,Chris Owens,1,6,30.0
466,Chris Webber,67,2622,30.4
473,Chris Whitney,51,1052,19.1
476,Chris Wilcox,46,479,17.7
253,Christian Laettner,76,2215,14.2
20,Chucky Atkins,65,1398,19.4
465,Clarence Weatherspoon,79,2024,12.8
384,Clifford Robinson,81,2825,20.4
35,Corey Benjamin,9,152,16.9
270,Corey Maggette,64,2006,24.8
39,Corie Blount,50,836,10.2
