,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
297,A.J. Price,2,2.6,6.3,1.3,0.2,1.4,1.9,0.6,0.1,1.1,0.9
25,Aaron Brooks,82,7.0,16.2,3.6,0.7,2.0,5.3,0.8,0.2,2.8,2.4
466,Aaron Gray,0,1.3,2.6,0.9,1.4,1.9,0.7,0.3,0.3,0.6,1.7
416,Acie Law,1,1.3,2.9,1.9,0.1,0.5,1.0,0.4,0.0,0.7,0.6
508,Adam Morrison,0,1.0,2.7,0.3,0.3,0.7,0.6,0.1,0.1,0.3,0.5
46,Al Harrington,15,6.2,14.3,4.4,1.2,4.4,1.5,0.9,0.4,1.8,2.9
93,Al Horford,81,5.8,10.5,3.3,2.9,7.0,2.3,0.7,1.1,1.5,2.8
52,Al Jefferson,76,7.4,14.8,3.5,2.4,6.9,1.8,0.8,1.3,1.8,2.7
164,Al Thornton,46,4.3,9.0,2.8,1.5,2.4,1.2,0.6,0.5,1.4,2.7
456,Alando Tucker,0,1.1,2.6,1.4,0.4,0.3,0.3,0.0,0.0,0.3,0.4
556,Alexis Ajinça,0,0.8,1.7,0.2,0.2,0.5,0.0,0.2,0.2,0.3,0.8
100,Allen Iverson,24,4.9,11.3,4.7,0.6,2.3,4.0,0.7,0.1,2.3,1.7
289,Alonzo Gee,2,2.5,5.4,2.6,1.4,1.6,0.6,0.6,0.1,0.9,1.2
9,Amar'e Stoudemire,82,8.6,15.4,7.7,2.8,6.1,1.0,0.6,1.0,2.6,3.4
341,Amir Johnson,5,2.5,4.1,1.8,1.9,2.9,0.6,0.5,0.8,0.8,3.1
239,Anderson Varejão,7,3.5,6.1,2.3,2.5,5.1,1.1,0.9,0.9,0.9,2.9
94,Andray Blatche,36,5.9,12.3,2.9,2.0,4.3,2.1,1.0,0.9,2.2,2.7
51,Andre Iguodala,82,6.0,13.7,5.2,1.0,5.5,5.8,1.7,0.7,2.7,1.8
97,Andre Miller,66,4.9,11.1,4.8,1.0,2.3,5.4,1.1,0.1,2.1,2.1
50,Andrea Bargnani,80,6.7,14.3,2.9,1.3,4.9,1.2,0.3,1.4,1.5,2.7
133,Andrei Kirilenko,35,4.2,8.3,4.0,1.3,3.2,2.7,1.4,1.2,1.4,1.8
71,Andrew Bogut,69,6.9,13.2,3.4,3.0,7.1,1.8,0.6,2.5,1.9,3.2
86,Andrew Bynum,65,6.0,10.6,4.0,2.7,5.6,1.0,0.5,1.4,1.8,3.0
378,Andris Biedriņš,29,2.5,4.2,0.8,1.9,5.9,1.7,0.6,1.3,1.0,3.5
245,Andrés Nocioni,28,3.1,7.8,1.3,0.4,2.5,1.0,0.4,0.3,0.9,2.1
31,Antawn Jamison,64,7.2,15.7,4.5,2.1,6.3,1.3,1.1,0.3,1.4,2.7
471,Anthony Carter,7,1.4,3.4,0.2,0.3,1.3,3.0,0.7,0.2,1.1,1.3
