,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
481,A.J. Price,.534,.069,.128,.163,.175,.466,.110,.659,.000,.040
94,Aaron Brooks,.598,.201,.135,.078,.184,.402,.140,.586,.002,.178
258,Aaron Gray,1.000,.657,.293,.051,.000,.000,.554,,.101,
369,Acie Law,.806,.403,.145,.108,.151,.194,.360,.833,.000,.611
275,Al Harrington,.514,.289,.098,.047,.080,.486,.494,.966,.030,.271
302,Al Horford,.996,.231,.244,.150,.370,.004,.695,.500,.068,.500
327,Al Jefferson,1.000,.315,.332,.190,.163,.000,.584,,.058,
566,Al Thornton,.940,.295,.179,.148,.318,.060,.582,1.000,.053,.500
12,Al-Farouq Aminu,.648,.315,.175,.037,.121,.352,.443,.978,.081,.385
3,Alexis Ajinça,.744,.233,.068,.068,.376,.256,.660,1.000,.090,.059
240,Alonzo Gee,.807,.508,.182,.030,.087,.193,.490,.941,.140,.471
545,Amar'e Stoudemire,.984,.314,.295,.138,.238,.016,.523,.800,.086,.304
335,Amir Johnson,.998,.564,.212,.026,.196,.002,.641,,.145,1.000
583,Anderson Varejão,.991,.588,.213,.106,.083,.009,.702,,.051,.500
76,Andray Blatche,.981,.354,.228,.170,.229,.019,.555,1.000,.041,.222
310,Andre Iguodala,.762,.257,.078,.119,.308,.238,.448,.836,.140,.232
411,Andre Miller,.956,.276,.217,.219,.244,.044,.359,1.000,.000,.108
45,Andrea Bargnani,.810,.178,.188,.180,.264,.190,.589,.909,.024,.013
357,Andrei Kirilenko,.819,.428,.111,.026,.255,.181,.696,.972,.133,.153
79,Andrew Bogut,.995,.411,.512,.063,.008,.005,.482,,.089,.000
108,Andrew Bynum,1.000,.496,.446,.058,.000,.000,.574,,.199,
70,Andris Biedriņš,1.000,.538,.447,.015,.000,.000,.676,,.113,
439,Andrés Nocioni,.574,.195,.166,.097,.116,.426,.645,1.000,.018,.331
495,Andy Rautins,.429,.143,.000,.000,.286,.571,1.000,1.000,.000,.000
323,Antawn Jamison,.700,.164,.239,.094,.203,.300,.792,.978,.007,.163
122,Anthony Carter,.623,.189,.170,.057,.208,.377,.485,.833,.000,.175
425,Anthony Morrow,.581,.081,.115,.163,.223,.419,.509,.945,.000,.373
456,Anthony Parker,.589,.058,.085,.136,.310,.411,.560,.872,.005,.374
490,Anthony Randolph,.985,.371,.212,.117,.284,.015,.598,1.000,.106,.750
573,Anthony Tolliver,.633,.214,.185,.070,.163,.367,.660,1.000,.032,.157
638,Antoine Wright,.500,.125,.125,.000,.250,.500,.000,,.000,.500
161,Antonio Daniels,.600,.000,.400,.000,.200,.400,.000,,.000,.000
402,Antonio McDyess,.997,.256,.047,.174,.520,.003,.888,,.078,.000
336,Armon Johnson,.881,.287,.327,.079,.188,.119,.122,.800,.000,.250
1,Arron Afflalo,.604,.241,.132,.077,.155,.396,.565,1.000,.002,.581
168,Austin Daye,.635,.197,.106,.132,.200,.365,.565,.971,.030,.407
86,Avery Bradley,.925,.313,.060,.075,.478,.075,.391,,.060,.200
163,Baron Davis,.655,.231,.193,.114,.117,.345,.149,.593,.006,.092
250,Ben Gordon,.655,.148,.082,.066,.358,.345,.487,.692,.004,.372
582,Ben Uzoh,.944,.431,.292,.097,.125,.056,.345,1.000,.035,.375
593,Ben Wallace,.987,.765,.148,.060,.013,.013,.500,1.000,.101,.000
581,Beno Udrih,.779,.194,.120,.208,.257,.221,.409,.908,.000,.302
267,Blake Griffin,.983,.408,.318,.102,.154,.017,.666,1.000,.176,.042
522,Bobby Simmons,.000,.000,.000,.000,.000,1.000,,,.000,.333
172,Boris Diaw,.708,.302,.194,.044,.168,.292,.554,.962,.004,.044
412,Brad Miller,.639,.233,.122,.098,.186,.361,.696,1.000,.007,.028
639,Brandan Wright,1.000,.419,.385,.145,.051,.000,.717,,.128,
51,Brandon Bass,.997,.298,.132,.236,.332,.003,.657,,.138,.000
332,Brandon Jennings,.673,.256,.149,.109,.159,.327,.240,.735,.006,.106
509,Brandon Roy,.782,.187,.145,.164,.285,.218,.298,.789,.004,.281
510,Brandon Rush,.567,.167,.083,.076,.241,.433,.492,.946,.033,.345
286,Brendan Haywood,.996,.677,.247,.054,.018,.004,.688,,.300,.000
113,Brian Cardinal,.130,.050,.000,.020,.060,.870,1.000,1.000,.000,.609
146,Brian Cook,.535,.159,.100,.100,.176,.465,.605,.941,.029,.089
515,Brian Scalabrine,.737,.053,.105,.105,.474,.263,.800,,.000,.600
523,Brian Skinner,,,,,,,,,,
382,Brook Lopez,.999,.242,.437,.150,.170,.001,.637,,.072,.000
429,Byron Mullens,1.000,.393,.214,.071,.321,.000,.778,,.179,
409,C.J. Miles,.623,.207,.161,.076,.179,.377,.525,.908,.040,.139
601,C.J. Watson,.716,.150,.091,.076,.398,.284,.255,.841,.003,.223
366,Carl Landry,.994,.284,.268,.169,.274,.006,.525,,.073,.250
32,Carlos Arroyo,.747,.051,.044,.103,.549,.253,.629,.935,.000,.768
82,Carlos Boozer,1.000,.383,.269,.206,.142,.000,.647,,.045,
169,Carlos Delfino,.446,.166,.076,.053,.152,.554,.505,.962,.016,.391
20,Carmelo Anthony,.833,.321,.101,.124,.286,.167,.418,.842,.037,.171
