,Player,Fouls Drawn - Shoot
82,Aaron Brooks,3
224,Aaron Gordon,111
254,Aaron Harrison,5
309,Aaron Jackson,1
465,Abdel Nader,15
508,Adreian Payne,1
290,Al Horford,47
320,Al Jefferson,23
10,Al-Farouq Aminu,33
659,Alan Williams,5
95,Alec Burks,57
519,Alec Peters,5
111,Alex Caruso,10
375,Alex Len,111
530,Alex Poythress,0
421,Alfonzo McKinnie,2
141,Allen Crabbe,47
324,Amir Johnson,36
174,Andre Drummond,184
297,Andre Iguodala,39
302,Andre Ingram,2
551,Andre Roberson,11
65,Andrew Bogut,0
255,Andrew Harrison,73
651,Andrew White,3
656,Andrew Wiggins,146
688,Ante Žižić,13
85,Anthony Brown,0
154,Anthony Davis,246
615,Anthony Tolliver,60
58,Antonio Blakeney,16
124,Antonius Cleveland,3
39,Aron Baynes,34
4,Arron Afflalo,11
550,Austin Rivers,72
74,Avery Bradley,29
3,Bam Adebayo,81
422,Ben McLemore,26
445,Ben Moore,0
577,Ben Simmons,121
55,Bismack Biyombo,73
237,Blake Griffin,133
399,Boban Marjanović,42
86,Bobby Brown,1
526,Bobby Portis,82
63,Bogdan Bogdanović,36
64,Bojan Bogdanović,85
41,Bradley Beal,139
674,Brandan Wright,15
303,Brandon Ingram,130
322,Brandon Jennings,5
506,Brandon Paul,20
646,Briante Weber,3
325,Brice Johnson,3
388,Brook Lopez,74
99,Bruno Caboclo,1
204,Bryn Forbes,31
273,Buddy Hield,26
428,C.J. Miles,38
660,C.J. Williams,4
411,CJ McCollum,104
597,Caleb Swanigan,10
509,Cameron Payne,7
379,Caris LeVert,89
16,Carmelo Anthony,81
494,Cedi Osman,22
503,Chandler Parsons,10
209,Channing Frye,10
136,Charles Cooke,0
163,Cheick Diallo,34
493,Chinanu Onuaku,0
72,Chris Boucher,0
414,Chris McCullough,5
507,Chris Paul,41
107,Clint Capela,132
683,Cody Zeller,34
5,Cole Aldrich,2
78,Corey Brewer,34
348,Cory Joseph,29
372,Courtney Lee,41
198,Cristiano Felício,44
561,D'Angelo Russell,54
26,D.J. Augustin,70
669,D.J. Wilson,0
328,Dakari Johnson,6
339,Damian Jones,3
383,Damian Lillard,189
658,Damien Wilkins,1
373,Damion Lee,13
167,Damyean Dotson,11
240,Daniel Hamilton,0
606,Daniel Theis,35
213,Danilo Gallinari,34
232,Danny Green,25
148,Dante Cunningham,26
192,Dante Exum,11
291,Danuel House Jr.,16
565,Dario Šarić,91
429,Darius Miller,26
21,Darrell Arthur,2
131,Darren Collison,56
279,Darrun Hilliard,3
481,David Nwaba,105
594,David Stockton,1
649,David West,45
542,Davon Reed,6
206,De'Aaron Fox,96
347,DeAndre Jordan,113
380,DeAndre Liggins,2
49,DeAndre' Bembry,12
162,DeMar DeRozan,236
139,DeMarcus Cousins,180
108,DeMarre Carroll,94
461,Dejounte Murray,62
677,Delon Wright,55
310,Demetrius Jackson,1
567,Dennis Schröder,108
582,Dennis Smith Jr.,83
623,Denzel Valentine,12
194,Derrick Favors,109
340,Derrick Jones Jr.,12
555,Derrick Rose,24
641,Derrick Walton,1
652,Derrick White,9
661,Derrick Williams,0
67,Devin Booker,126
245,Devin Harris,77
552,Devin Robinson,0
157,Dewayne Dedmon,41
155,Deyonta Davis,22
83,Dillon Brooks,83
636,Dion Waiters,28
478,Dirk Nowitzki,39
562,Domantas Sabonis,110
437,Donovan Mitchell,127
203,Dorian Finney-Smith,8
415,Doug McDermott,38
50,Dragan Bender,21
233,Draymond Green,81
30,Dwayne Bacon,10
97,Dwight Buycks,20
292,Dwight Howard,253
528,Dwight Powell,88
633,Dwyane Wade,85
51,Dāvis Bertāns,19
446,E'Twaun Moore,27
156,Ed Davis,58
596,Edmond Sumner,0
620,Ekpe Udoh,25
510,Elfrid Payton,82
486,Emeka Okafor,13
454,Emmanuel Mudiay,56
208,Enes Freedom,83
59,Eric Bledsoe,122
226,Eric Gordon,114
447,Eric Moreland,13
413,Erik McCree,0
298,Ersan İlyasova,58
205,Evan Fournier,64
618,Evan Turner,46
349,Frank Kaminsky,96
404,Frank Mason III,55
479,Frank Ntilikina,22
624,Fred VanVleet,42
358,Furkan Korkmaz,1
603,Garrett Temple,33
248,Gary Harris,74
513,Gary Payton II,3
275,George Hill,42
474,Georges Niang,1
498,Georgios Papagiannis,0
234,Gerald Green,27
123,Gian Clavell,1
15,Giannis Antetokounmpo,316
553,Glenn Robinson III,6
170,Goran Dragić,103
263,Gordon Hayward,0
164,Gorgui Dieng,47
440,Greg Monroe,56
678,Guerschon Yabusele,9
35,Harrison Barnes,125
655,Hassan Whiteside,98
182,Henry Ellenson,13
119,Ian Clark,20
397,Ian Mahinmi,62
14,Ike Anigbogu,3
574,Iman Shumpert,4
104,Isaiah Canaan,19
272,Isaiah Hicks,9
599,Isaiah Taylor,64
607,Isaiah Thomas,45
654,Isaiah Whitehead,11
583,Ish Smith,46
536,Ivan Rabb,16
689,Ivica Zubac,22
34,J.J. Barea,42
584,J.R. Smith,16
541,JJ Redick,61
563,JaKarr Sampson,9
235,JaMychal Green,58
418,JaVale McGee,24
54,Jabari Bird,5
501,Jabari Parker,25
137,Jack Cooley,5
532,Jacob Pullen,0
657,Jacob Wiley,1
145,Jae Crowder,63
488,Jahlil Okafor,15
370,Jake Layman,2
523,Jakob Poeltl,54
343,Jalen Jones,11
143,Jamal Crawford,43
463,Jamal Murray,104
642,Jameel Warney,3
470,Jameer Nelson,4
22,Jamel Artis,5
185,James Ennis III,54
242,James Harden,285
329,James Johnson,77
408,James Michael McAdoo,1
645,James Webb III,0
679,James Young,3
670,Jamil Wilson,2
176,Jared Dudley,8
179,Jarell Eddie,0
403,Jarell Martin,51
7,Jarrett Allen,71
308,Jarrett Jack,31
585,Jason Smith,10
605,Jason Terry,1
189,Jawun Evans,22
87,Jaylen Brown,121
448,Jaylen Morris,0
598,Jayson Tatum,118
236,Jeff Green,115
600,Jeff Teague,83
672,Jeff Withey,1
229,Jerami Grant,124
190,Jeremy Evans,0
366,Jeremy Lamb,99
384,Jeremy Lin,2
230,Jerian Grant,90
38,Jerryd Bayless,14
96,Jimmy Butler,179
475,Joakim Noah,2
424,Jodie Meeks,46
249,Joe Harris,47
301,Joe Ingles,31
330,Joe Johnson,15
680,Joe Young,11
66,Joel Bolomboy,2
184,Joel Embiid,202
368,Joffrey Lauvergne,18
128,John Collins,79
266,John Henson,72
283,John Holland,5
638,John Wall,108
452,Johnathan Motley,12
482,Johnny O'Bryant,10
378,Jon Leuer,8
323,Jonas Jerebko,25
622,Jonas Valančiūnas,95
220,Jonathan Gibson,0
306,Jonathan Isaac,8
578,Jonathon Simmons,121
48,Jordan Bell,24
120,Jordan Clarkson,75
144,Jordan Crawford,0
426,Jordan Mickey,9
231,Josh Gray,5
257,Josh Hart,40
293,Josh Huestis,7
313,Josh Jackson,130
396,Josh Magette,2
423,Josh McRoberts,0
546,Josh Richardson,54
586,Josh Smith,0
102,José Calderón,9
281,Jrue Holiday,89
267,Juancho Hernangómez,5
538,Julius Randle,213
595,Julyan Stone,0
11,Justin Anderson,18
282,Justin Holiday,58
314,Justin Jackson,20
505,Justin Patton,0
671,Justise Winslow,52
480,Jusuf Nurkić,123
8,Kadeem Allen,3
616,Karl-Anthony Towns,189
376,Kawhi Leonard,19
195,Kay Felder,5
492,Kelly Olynyk,70
495,Kelly Oubre Jr.,104
637,Kemba Walker,166
517,Kendrick Perkins,1
193,Kenneth Faried,23
40,Kent Bazemore,93
103,Kentavious Caldwell-Pope,72
178,Kevin Durant,168
390,Kevin Love,90
387,Kevon Looney,34
53,Khem Birch,29
427,Khris Middleton,134
611,Klay Thompson,40
579,Kobi Simmons,12
361,Kosta Koufos,34
177,Kris Dunn,50
527,Kristaps Porziņģis,112
12,Kyle Anderson,66
130,Kyle Collinsworth,15
360,Kyle Korver,12
362,Kyle Kuzma,92
391,Kyle Lowry,103
484,Kyle O'Quinn,62
580,Kyle Singler,6
304,Kyrie Irving,103
6,LaMarcus Aldridge,185
593,Lance Stephenson,60
610,Lance Thomas,24
214,Langston Galloway,13
171,Larry Drew II,0
466,Larry Nance Jr.,52
402,Lauri Markkanen,79
316,LeBron James,252
518,London Perrantes,2
33,Lonzo Ball,28
88,Lorenzo Brown,1
662,Lou Williams,179
407,Luc Mbah a Moute,47
477,Lucas Nogueira,15
444,Luis Montero,0
27,Luke Babbitt,8
