,Roster,Avg Height
0,2001ATL,79.7
1,2001BOS,79.3
2,2001CHH,80.0
3,2001CHI,78.3
4,2001CLE,79.4
5,2001DAL,80.0
6,2001DEN,79.6
7,2001DET,77.9
8,2001GSW,79.4
9,2001HOU,79.6
10,2001IND,80.9
11,2001LAC,80.3
12,2001LAL,79.8
13,2001MIA,78.2
14,2001MIL,79.8
15,2001MIN,79.2
16,2001NJN,79.1
17,2001NYK,78.6
18,2001ORL,79.8
19,2001PHI,80.4
20,2001PHO,80.7
21,2001POR,79.9
22,2001SAC,80.0
23,2001SAS,79.3
24,2001SEA,79.5
25,2001TOR,79.6
26,2001UTA,80.0
27,2001VAN,80.0
28,2001WAS,78.1
29,2002ATL,79.3
30,2002BOS,79.2
31,2002CHH,79.6
32,2002CHI,80.6
33,2002CLE,80.5
34,2002DAL,80.1
35,2002DEN,78.7
36,2002DET,77.9
37,2002GSW,79.9
38,2002HOU,79.6
39,2002IND,80.4
40,2002LAC,79.1
41,2002LAL,79.6
42,2002MEM,78.7
43,2002MIA,78.6
44,2002MIL,79.7
45,2002MIN,79.0
46,2002NJN,80.1
47,2002NYK,78.2
48,2002ORL,79.7
49,2002PHI,78.6
50,2002PHO,80.4
51,2002POR,78.5
52,2002SAC,80.3
53,2002SAS,79.4
54,2002SEA,80.6
55,2002TOR,80.3
56,2002UTA,80.4
57,2002WAS,78.8
58,2003ATL,77.9
59,2003BOS,79.2
60,2003CHI,79.9
61,2003CLE,80.2
62,2003DAL,80.2
63,2003DEN,81.0
64,2003DET,78.8
65,2003GSW,79.0
66,2003HOU,80.3
67,2003IND,80.5
68,2003LAC,79.8
69,2003LAL,80.0
70,2003MEM,79.7
71,2003MIA,77.9
72,2003MIL,79.3
73,2003MIN,79.6
74,2003NJN,79.5
75,2003NOH,79.7
76,2003NYK,79.0
77,2003ORL,79.4
78,2003PHI,79.2
79,2003PHO,80.4
80,2003POR,79.6
81,2003SAC,79.6
82,2003SAS,80.2
83,2003SEA,80.2
84,2003TOR,79.5
85,2003UTA,79.6
86,2003WAS,79.5
87,2004ATL,79.2
88,2004BOS,79.3
89,2004CHI,80.4
90,2004CLE,80.7
91,2004DAL,80.2
92,2004DEN,78.9
93,2004DET,79.6
94,2004GSW,78.0
95,2004HOU,79.8
96,2004IND,79.0
97,2004LAC,79.7
98,2004LAL,79.9
99,2004MEM,79.6
100,2004MIA,80.1
101,2004MIL,80.1
102,2004MIN,80.0
103,2004NJN,79.7
104,2004NOH,79.1
105,2004NYK,80.1
106,2004ORL,79.3
107,2004PHI,78.6
108,2004PHO,78.9
109,2004POR,79.5
110,2004SAC,79.9
111,2004SAS,79.8
112,2004SEA,79.5
113,2004TOR,79.7
114,2004UTA,78.8
115,2004WAS,80.1
116,2005ATL,79.5
117,2005BOS,79.7
118,2005CHA,79.4
119,2005CHI,79.8
120,2005CLE,80.5
121,2005DAL,80.5
122,2005DEN,79.1
123,2005DET,78.9
124,2005GSW,78.7
125,2005HOU,80.6
126,2005IND,78.9
127,2005LAC,80.9
128,2005LAL,79.5
129,2005MEM,79.6
130,2005MIA,79.7
131,2005MIL,79.5
132,2005MIN,78.4
133,2005NJN,78.8
134,2005NOH,79.1
135,2005NYK,80.0
136,2005ORL,79.6
137,2005PHI,78.9
138,2005PHO,79.6
139,2005POR,78.4
140,2005SAC,79.7
141,2005SAS,79.4
142,2005SEA,79.7
143,2005TOR,79.9
144,2005UTA,79.1
145,2005WAS,80.5
146,2006ATL,79.1
147,2006BOS,80.0
148,2006CHA,79.1
149,2006CHI,79.7
150,2006CLE,80.2
151,2006DAL,79.9
152,2006DEN,78.2
153,2006DET,78.6
154,2006GSW,79.3
155,2006HOU,79.9
156,2006IND,80.6
157,2006LAC,79.3
158,2006LAL,81.2
159,2006MEM,78.3
160,2006MIA,79.6
161,2006MIL,79.3
162,2006MIN,79.8
163,2006NJN,80.0
164,2006NOK,78.9
165,2006NYK,79.2
166,2006ORL,79.6
167,2006PHI,79.9
168,2006PHO,79.0
169,2006POR,79.3
170,2006SAC,79.2
171,2006SAS,79.7
172,2006SEA,80.6
173,2006TOR,80.5
174,2006UTA,79.1
175,2006WAS,80.3
176,2007ATL,78.8
177,2007BOS,78.6
178,2007CHA,79.4
179,2007CHI,79.4
180,2007CLE,80.0
181,2007DAL,79.9
182,2007DEN,79.4
183,2007DET,80.0
184,2007GSW,79.8
185,2007HOU,80.3
186,2007IND,80.2
187,2007LAC,78.8
188,2007LAL,79.8
189,2007MEM,78.9
190,2007MIA,79.9
191,2007MIL,78.0
192,2007MIN,79.2
193,2007NJN,79.7
194,2007NOK,78.5
195,2007NYK,79.0
196,2007ORL,79.4
197,2007PHI,78.9
198,2007PHO,78.8
199,2007POR,79.3
200,2007SAC,79.0
201,2007SAS,79.9
202,2007SEA,78.6
203,2007TOR,79.6
204,2007UTA,79.6
205,2007WAS,79.8
206,2008ATL,78.9
207,2008BOS,78.9
208,2008CHA,78.0
209,2008CHI,79.4
210,2008CLE,79.7
211,2008DAL,79.6
212,2008DEN,78.1
213,2008DET,79.6
214,2008GSW,79.6
215,2008HOU,79.2
216,2008IND,80.1
217,2008LAC,78.1
218,2008LAL,80.3
219,2008MEM,78.1
220,2008MIA,79.2
221,2008MIL,79.6
222,2008MIN,78.8
223,2008NJN,79.6
224,2008NOH,79.1
225,2008NYK,78.8
226,2008ORL,78.9
227,2008PHI,79.3
228,2008PHO,79.7
229,2008POR,80.0
230,2008SAC,79.5
231,2008SAS,79.5
232,2008SEA,80.1
233,2008TOR,80.0
234,2008UTA,80.2
235,2008WAS,80.3
236,2009ATL,79.2
237,2009BOS,79.0
238,2009CHA,79.1
239,2009CHI,79.3
240,2009CLE,80.0
241,2009DAL,79.0
242,2009DEN,78.6
243,2009DET,79.7
244,2009GSW,79.0
245,2009HOU,79.6
246,2009IND,79.8
247,2009LAC,80.5
248,2009LAL,80.0
249,2009MEM,78.9
250,2009MIA,78.9
251,2009MIL,80.0
252,2009MIN,78.8
253,2009NJN,80.0
254,2009NOH,80.1
255,2009NYK,78.5
256,2009OKC,80.0
257,2009ORL,79.4
258,2009PHI,78.9
259,2009PHO,79.3
