,Roster,Standard Deviation of Roster Height
0,2001ATL,4.73
1,2001BOS,3.68
2,2001CHH,3.83
3,2001CHI,3.6
4,2001CLE,2.62
5,2001DAL,4.48
6,2001DEN,3.65
7,2001DET,4.03
8,2001GSW,3.39
9,2001HOU,3.42
10,2001IND,3.44
11,2001LAC,2.89
12,2001LAL,3.16
13,2001MIA,3.52
14,2001MIL,2.97
15,2001MIN,3.74
16,2001NJN,3.38
17,2001NYK,3.14
18,2001ORL,3.55
19,2001PHI,3.99
20,2001PHO,3.92
21,2001POR,4.9
22,2001SAC,4.03
23,2001SAS,4.19
24,2001SEA,3.44
25,2001TOR,3.14
26,2001UTA,3.96
27,2001VAN,3.23
28,2001WAS,2.62
29,2002ATL,3.4
30,2002BOS,3.55
31,2002CHH,3.81
32,2002CHI,2.91
33,2002CLE,3.32
34,2002DAL,4.69
35,2002DEN,3.97
36,2002DET,4.13
37,2002GSW,2.5
38,2002HOU,3.42
39,2002IND,3.81
40,2002LAC,5.06
41,2002LAL,3.53
42,2002MEM,4.49
43,2002MIA,3.53
44,2002MIL,3.28
45,2002MIN,3.77
46,2002NJN,3.1
47,2002NYK,3.16
48,2002ORL,3.57
49,2002PHI,4.41
50,2002PHO,3.05
51,2002POR,3.87
52,2002SAC,3.87
53,2002SAS,3.48
54,2002SEA,3.36
55,2002TOR,3.12
56,2002UTA,3.42
57,2002WAS,3.82
58,2003ATL,3.88
59,2003BOS,3.77
60,2003CHI,3.17
61,2003CLE,3.85
62,2003DAL,4.45
63,2003DEN,2.16
64,2003DET,3.49
65,2003GSW,5.06
66,2003HOU,4.31
67,2003IND,3.0
68,2003LAC,2.83
69,2003LAL,3.01
70,2003MEM,3.6
71,2003MIA,4.18
72,2003MIL,2.71
73,2003MIN,3.53
74,2003NJN,2.65
75,2003NOH,3.37
76,2003NYK,2.87
77,2003ORL,3.56
78,2003PHI,3.52
79,2003PHO,2.62
80,2003POR,4.5
81,2003SAC,4.11
82,2003SAS,3.41
83,2003SEA,2.79
84,2003TOR,2.57
85,2003UTA,3.75
86,2003WAS,3.63
87,2004ATL,3.1
88,2004BOS,4.35
89,2004CHI,2.62
90,2004CLE,3.12
91,2004DAL,4.58
92,2004DEN,5.44
93,2004DET,3.75
94,2004GSW,4.36
95,2004HOU,4.31
96,2004IND,3.38
97,2004LAC,3.28
98,2004LAL,3.23
99,2004MEM,3.53
100,2004MIA,3.01
101,2004MIL,3.44
102,2004MIN,3.04
103,2004NJN,2.4
104,2004NOH,3.9
105,2004NYK,3.38
106,2004ORL,3.49
107,2004PHI,3.08
108,2004PHO,3.04
109,2004POR,3.85
110,2004SAC,3.98
111,2004SAS,3.23
112,2004SEA,3.03
113,2004TOR,2.32
114,2004UTA,4.12
115,2004WAS,3.44
116,2005ATL,3.95
117,2005BOS,3.12
118,2005CHA,4.13
119,2005CHI,3.49
120,2005CLE,3.38
